comparison_basis,count,dataset,predicate,task
webnlg17_input,1,counterfactual,en,ordering
webnlg17_input,1,counterfactual,fado,ordering
webnlg17_input,1,counterfactual,film,ordering
webnlg17_input,1,counterfactual,filmography,ordering
webnlg17_input,1,counterfactual,foundedDate,ordering
webnlg17_input,1,counterfactual,grossed,ordering
webnlg17_input,1,counterfactual,grosses,ordering
webnlg17_input,1,counterfactual,inauguration,ordering
webnlg17_input,1,counterfactual,irreducible_complexity,ordering
webnlg17_input,1,counterfactual,linguistics,ordering
webnlg17_input,1,counterfactual,manager,ordering
webnlg17_input,1,counterfactual,mashup,ordering
webnlg17_input,1,counterfactual,mean,ordering
webnlg17_input,1,counterfactual,media,ordering
webnlg17_input,1,counterfactual,music,ordering
webnlg17_input,1,counterfactual,musicBand,ordering
webnlg17_input,1,counterfactual,musicComposer,ordering
webnlg17_input,1,counterfactual,music_of_Israel,ordering
webnlg17_input,1,counterfactual,notableFor,ordering
webnlg17_input,1,counterfactual,number,ordering
webnlg17_input,1,counterfactual,office_held_by_head_of_the_organization,ordering
webnlg17_input,1,counterfactual,operatingIncome,ordering
webnlg17_input,1,counterfactual,operatingIndustry,ordering
webnlg17_input,1,counterfactual,operating_industry,ordering
webnlg17_input,1,counterfactual,precededBy's,ordering
webnlg17_input,1,counterfactual,producer!!!,ordering
webnlg17_input,1,counterfactual,professionCause,ordering
webnlg17_input,1,counterfactual,professionFactor,ordering
webnlg17_input,1,counterfactual,protein-bound_paclitaxel,ordering
webnlg17_input,1,counterfactual,recordArtist,ordering
webnlg17_input,1,counterfactual,recordLength,ordering
webnlg17_input,1,counterfactual,recordtime,ordering
webnlg17_input,1,counterfactual,time_in_China,ordering
webnlg17_input,1,counterfactual,time_in_Iceland,ordering
webnlg17_input,1,counterfactual,timereleaseDate,ordering
webnlg17_input,1,counterfactual,title,ordering
webnlg17_input,45,factual,author,ordering
webnlg17_input,25,factual,time,ordering
webnlg17_input,21,factual,editor,ordering
webnlg17_input,19,factual,record,ordering
webnlg17_input,18,factual,creator,ordering
webnlg17_input,18,factual,production,ordering
webnlg17_input,18,factual,professionField,ordering
webnlg17_input,16,factual,recordIn,ordering
webnlg17_input,13,factual,ICAOLocationIdentifier,ordering
webnlg17_input,13,factual,director,ordering
webnlg17_input,11,factual,city,ordering
webnlg17_input,11,factual,genre,ordering
webnlg17_input,11,factual,profession,ordering
webnlg17_input,10,factual,country,ordering
webnlg17_input,9,factual,production_team,ordering
webnlg17_input,8,factual,length,ordering
webnlg17_input,8,factual,occupation,ordering
webnlg17_input,8,factual,publisher,ordering
webnlg17_input,8,factual,starring,ordering
webnlg17_input,6,factual,mainIngredients,ordering
webnlg17_input,5,factual,crew,ordering
webnlg17_input,5,factual,isdbId,ordering
webnlg17_input,5,factual,recordLabel,ordering
webnlg17_input,4,factual,academicDiscipline,ordering
webnlg17_input,4,factual,grosses,ordering
webnlg17_input,4,factual,nationality,ordering
webnlg17_input,3,factual,broadcastedBy,ordering
webnlg17_input,3,factual,distributor,ordering
webnlg17_input,3,factual,music_download,ordering
webnlg17_input,3,factual,recordDate,ordering
webnlg17_input,3,factual,timeruntime,ordering
webnlg17_input,2,factual,COSparId,ordering
webnlg17_input,2,factual,Carter_constant,ordering
webnlg17_input,2,factual,club,ordering
webnlg17_input,2,factual,film,ordering
webnlg17_input,2,factual,location,ordering
webnlg17_input,2,factual,music,ordering
webnlg17_input,2,factual,musicBand,ordering
webnlg17_input,2,factual,recordTime,ordering
webnlg17_input,2,factual,was,ordering
webnlg17_input,1,factual,Anthropic_principle,ordering
webnlg17_input,1,factual,IdbId,ordering
webnlg17_input,1,factual,academic,ordering
webnlg17_input,1,factual,album,ordering
webnlg17_input,1,factual,birthDate,ordering
webnlg17_input,1,factual,capital,ordering
webnlg17_input,1,factual,capital_city,ordering
webnlg17_input,1,factual,cost,ordering
webnlg17_input,1,factual,costgross,ordering
webnlg17_input,1,factual,date,ordering
webnlg17_input,1,factual,desolutionYear,ordering
webnlg17_input,1,factual,filming,ordering
webnlg17_input,1,factual,foundedDate,ordering
webnlg17_input,1,factual,grossedcinematography,ordering
webnlg17_input,1,factual,language,ordering
webnlg17_input,1,factual,launchDate,ordering
webnlg17_input,1,factual,manufacturer,ordering
webnlg17_input,1,factual,mean,ordering
webnlg17_input,1,factual,media_company,ordering
webnlg17_input,1,factual,musicComposer,ordering
webnlg17_input,1,factual,narrator,ordering
webnlg17_input,1,factual,numberOfAreaWater,ordering
webnlg17_input,1,factual,numberOfstaff,ordering
webnlg17_input,1,factual,operatingIncome,ordering
webnlg17_input,1,factual,operatingIndustry,ordering
webnlg17_input,1,factual,precededBy,ordering
webnlg17_input,1,factual,product,ordering
webnlg17_input,1,factual,production_company,ordering
webnlg17_input,1,factual,professionStochastic_programming,ordering
webnlg17_input,1,factual,professionknownFor,ordering
webnlg17_input,1,factual,recordArtist,ordering
webnlg17_input,1,factual,recordLength,ordering
webnlg17_input,1,factual,record_name,ordering
webnlg17_input,1,factual,timerunnumber,ordering
webnlg17_input,48,fictional,author,ordering
webnlg17_input,31,fictional,creator,ordering
webnlg17_input,30,fictional,production,ordering
webnlg17_input,26,fictional,time,ordering
webnlg17_input,22,fictional,professionField,ordering
webnlg17_input,21,fictional,editor,ordering
webnlg17_input,18,fictional,recordIn,ordering
webnlg17_input,11,fictional,ICAOLocationIdentifier,ordering
webnlg17_input,11,fictional,genre,ordering
webnlg17_input,8,fictional,manufacturer,ordering
webnlg17_input,7,fictional,profession,ordering
webnlg17_input,6,fictional,director,ordering
webnlg17_input,6,fictional,record,ordering
webnlg17_input,5,fictional,academicDiscipline,ordering
webnlg17_input,5,fictional,date,ordering
webnlg17_input,4,fictional,IMDbId,ordering
webnlg17_input,4,fictional,publisher,ordering
webnlg17_input,3,fictional,IdbId,ordering
webnlg17_input,3,fictional,birthPlace,ordering
webnlg17_input,3,fictional,film,ordering
webnlg17_input,3,fictional,length,ordering
webnlg17_input,3,fictional,occupation,ordering
webnlg17_input,3,fictional,recordDate,ordering
webnlg17_input,2,fictional,academicField,ordering
webnlg17_input,2,fictional,broadcastedBy,ordering
webnlg17_input,2,fictional,distributor,ordering
webnlg17_input,2,fictional,influencedBy,ordering
webnlg17_input,2,fictional,music,ordering
webnlg17_input,2,fictional,nationality,ordering
webnlg17_input,2,fictional,notableFor,ordering
webnlg17_input,2,fictional,recordTime,ordering
webnlg17_input,2,fictional,recordtime,ordering
webnlg17_input,2,fictional,timeruntime,ordering
webnlg17_input,1,fictional,COSparId,ordering
webnlg17_input,1,fictional,Nipher_Ylize,ordering
webnlg17_input,1,fictional,academicStaff,ordering
webnlg17_input,1,fictional,birthDate,ordering
webnlg17_input,1,fictional,cost,ordering
webnlg17_input,1,fictional,costuming,ordering
webnlg17_input,1,fictional,country,ordering
webnlg17_input,1,fictional,desolutionYear,ordering
webnlg17_input,1,fictional,isdbId,ordering
webnlg17_input,1,fictional,leader,ordering
webnlg17_input,1,fictional,location,ordering
webnlg17_input,1,fictional,mean,ordering
webnlg17_input,1,fictional,musicBand,ordering
webnlg17_input,1,fictional,numberOfRuntime,ordering
webnlg17_input,1,fictional,operatingIncome,ordering
webnlg17_input,1,fictional,operatingcompany,ordering
webnlg17_input,1,fictional,product,ordering
webnlg17_input,1,fictional,recordLabel,ordering
webnlg17_input,1,fictional,starring,ordering
webnlg17_input,1,fictional,timeout,ordering
ordering_output,2,counterfactual,ICAOLocationIdentifier,structuring
ordering_output,1,counterfactual,Time,structuring
ordering_output,1,counterfactual,UTC04:30,structuring
ordering_output,1,counterfactual,anthem,structuring
ordering_output,1,counterfactual,apologist,structuring
ordering_output,1,counterfactual,backpacking,structuring
ordering_output,1,counterfactual,contradiction,structuring
ordering_output,1,counterfactual,inauguration,structuring
ordering_output,1,counterfactual,leader_author,structuring
ordering_output,1,counterfactual,mashup,structuring
ordering_output,1,counterfactual,post-punk,structuring
ordering_output,1,counterfactual,pressbook,structuring
ordering_output,1,counterfactual,rapping,structuring
webnlg17_input,2,counterfactual,ICAOLocationIdentifier,structuring
webnlg17_input,1,counterfactual,Time,structuring
webnlg17_input,1,counterfactual,UTC04:30,structuring
webnlg17_input,1,counterfactual,anthem,structuring
webnlg17_input,1,counterfactual,apologist,structuring
webnlg17_input,1,counterfactual,backpacking,structuring
webnlg17_input,1,counterfactual,contradiction,structuring
webnlg17_input,1,counterfactual,inauguration,structuring
webnlg17_input,1,counterfactual,leader_author,structuring
webnlg17_input,1,counterfactual,mashup,structuring
webnlg17_input,1,counterfactual,post-punk,structuring
webnlg17_input,1,counterfactual,pressbook,structuring
webnlg17_input,1,counterfactual,rapping,structuring
ordering_output,1,factual,/,structuring
ordering_output,1,factual,/S,structuring
ordering_output,1,factual,Broadcasting_House,structuring
ordering_output,1,factual,Photographer,structuring
ordering_output,1,factual,Presenter,structuring
ordering_output,1,factual,Singing,structuring
ordering_output,1,factual,broadcasting_House,structuring
ordering_output,1,factual,language,structuring
webnlg17_input,1,factual,/,structuring
webnlg17_input,1,factual,/S,structuring
webnlg17_input,1,factual,Broadcasting_House,structuring
webnlg17_input,1,factual,Photographer,structuring
webnlg17_input,1,factual,Presenter,structuring
webnlg17_input,1,factual,Singing,structuring
webnlg17_input,1,factual,broadcasting_House,structuring
webnlg17_input,1,factual,language,structuring
ordering_output,1,fictional,ICAOLocationIdentifier,structuring
ordering_output,1,fictional,author,structuring
ordering_output,1,fictional,director,structuring
webnlg17_input,1,fictional,ICAOLocationIdentifier,structuring
webnlg17_input,1,fictional,author,structuring
webnlg17_input,1,fictional,director,structuring
