comparison_basis,count,dataset,predicate,task
webnlg17_input,2,fictional,recordLabel,ordering
webnlg17_input,2,fictional,selectedByNasa,ordering
webnlg17_input,1,fictional,areaOfWater,ordering
webnlg17_input,1,fictional,assembly,ordering
webnlg17_input,1,fictional,bodyStyle,ordering
webnlg17_input,1,fictional,budget,ordering
webnlg17_input,1,fictional,cosparId,ordering
webnlg17_input,1,fictional,course,ordering
webnlg17_input,1,fictional,director,ordering
webnlg17_input,1,fictional,dissolutionYear,ordering
webnlg17_input,1,fictional,genre,ordering
webnlg17_input,1,fictional,governmentType,ordering
webnlg17_input,1,fictional,gridReference,ordering
webnlg17_input,1,fictional,hasToItsNorth,ordering
webnlg17_input,1,fictional,instrument,ordering
webnlg17_input,1,fictional,literaryGenre,ordering
webnlg17_input,1,fictional,longName,ordering
webnlg17_input,1,fictional,netIncome,ordering
webnlg17_input,1,fictional,percentageOfAreaWater,ordering
webnlg17_input,1,fictional,populationMetro,ordering
webnlg17_input,1,fictional,product,ordering
webnlg17_input,1,fictional,region,ordering
webnlg17_input,1,fictional,service,ordering
ordering_output,2,counterfactual,icaoLocationIdentifier,structuring
ordering_output,2,counterfactual,imdbId,structuring
ordering_output,1,counterfactual,genre,structuring
ordering_output,1,counterfactual,product,structuring
webnlg17_input,87,counterfactual,producer,structuring
webnlg17_input,72,counterfactual,writer,structuring
webnlg17_input,52,counterfactual,professionalField,structuring
webnlg17_input,39,counterfactual,runtime,structuring
webnlg17_input,36,counterfactual,type,structuring
webnlg17_input,35,counterfactual,artist,structuring
webnlg17_input,25,counterfactual,citizenship,structuring
webnlg17_input,23,counterfactual,editing,structuring
webnlg17_input,16,counterfactual,industry,structuring
webnlg17_input,16,counterfactual,recordedIn,structuring
webnlg17_input,15,counterfactual,icaoLocationIdentifier,structuring
webnlg17_input,12,counterfactual,training,structuring
webnlg17_input,9,counterfactual,location,structuring
webnlg17_input,9,counterfactual,mission,structuring
webnlg17_input,8,counterfactual,city,structuring
webnlg17_input,8,counterfactual,imdbId,structuring
webnlg17_input,8,counterfactual,releaseDate,structuring
webnlg17_input,7,counterfactual,cinematography,structuring
webnlg17_input,6,counterfactual,staff,structuring
webnlg17_input,4,counterfactual,format,structuring
webnlg17_input,4,counterfactual,gross,structuring
webnlg17_input,3,counterfactual,album,structuring
webnlg17_input,3,counterfactual,architect,structuring
webnlg17_input,3,counterfactual,knownFor,structuring
webnlg17_input,3,counterfactual,longName,structuring
webnlg17_input,3,counterfactual,status,structuring
webnlg17_input,3,counterfactual,tenant,structuring
webnlg17_input,2,counterfactual,cosparId,structuring
webnlg17_input,2,counterfactual,foundingDate,structuring
webnlg17_input,2,counterfactual,netIncome,structuring
webnlg17_input,1,counterfactual,award,structuring
webnlg17_input,1,counterfactual,budget,structuring
webnlg17_input,1,counterfactual,certification,structuring
webnlg17_input,1,counterfactual,country,structuring
webnlg17_input,1,counterfactual,course,structuring
webnlg17_input,1,counterfactual,dissolutionYear,structuring
webnlg17_input,1,counterfactual,genre,structuring
webnlg17_input,1,counterfactual,governmentType,structuring
webnlg17_input,1,counterfactual,ground,structuring
webnlg17_input,1,counterfactual,ingredient,structuring
webnlg17_input,1,counterfactual,meaning,structuring
webnlg17_input,1,counterfactual,musicalBand,structuring
webnlg17_input,1,counterfactual,numberOfDoctoralStudents,structuring
webnlg17_input,1,counterfactual,office,structuring
webnlg17_input,1,counterfactual,percentageOfAreaWater,structuring
webnlg17_input,1,counterfactual,product,structuring
webnlg17_input,1,counterfactual,revenue,structuring
webnlg17_input,1,counterfactual,selectedByNasa,structuring
webnlg17_input,1,counterfactual,state,structuring
webnlg17_input,1,counterfactual,utcOffset,structuring
ordering_output,5,factual,imdbId,structuring
ordering_output,1,factual,leader,structuring
webnlg17_input,95,factual,producer,structuring
webnlg17_input,74,factual,writer,structuring
webnlg17_input,56,factual,runtime,structuring
webnlg17_input,54,factual,professionalField,structuring
webnlg17_input,39,factual,artist,structuring
webnlg17_input,39,factual,type,structuring
webnlg17_input,26,factual,citizenship,structuring
webnlg17_input,22,factual,city,structuring
webnlg17_input,22,factual,editing,structuring
webnlg17_input,18,factual,recordedIn,structuring
webnlg17_input,13,factual,icaoLocationIdentifier,structuring
webnlg17_input,13,factual,industry,structuring
webnlg17_input,12,factual,mission,structuring
webnlg17_input,12,factual,training,structuring
webnlg17_input,10,factual,imdbId,structuring
webnlg17_input,9,factual,cinematography,structuring
webnlg17_input,8,factual,location,structuring
webnlg17_input,7,factual,gross,structuring
webnlg17_input,7,factual,knownFor,structuring
webnlg17_input,7,factual,releaseDate,structuring
webnlg17_input,6,factual,mainIngredient,structuring
webnlg17_input,4,factual,format,structuring
webnlg17_input,3,factual,architect,structuring
webnlg17_input,3,factual,longName,structuring
webnlg17_input,3,factual,state,structuring
webnlg17_input,3,factual,status,structuring
webnlg17_input,3,factual,tenant,structuring
webnlg17_input,2,factual,album,structuring
webnlg17_input,2,factual,award,structuring
webnlg17_input,2,factual,certification,structuring
webnlg17_input,2,factual,cosparId,structuring
webnlg17_input,2,factual,foundingDate,structuring
webnlg17_input,2,factual,musicalBand,structuring
webnlg17_input,2,factual,netIncome,structuring
webnlg17_input,2,factual,selectedByNasa,structuring
webnlg17_input,2,factual,staff,structuring
webnlg17_input,1,factual,academicStaffSize,structuring
webnlg17_input,1,factual,dissolutionYear,structuring
webnlg17_input,1,factual,gridReference,structuring
webnlg17_input,1,factual,ground,structuring
webnlg17_input,1,factual,leader,structuring
webnlg17_input,1,factual,meaning,structuring
webnlg17_input,1,factual,numberOfDoctoralStudents,structuring
webnlg17_input,1,factual,numberOfStudents,structuring
webnlg17_input,1,factual,percentageOfAreaWater,structuring
webnlg17_input,1,factual,regionServed,structuring
webnlg17_input,1,factual,residence,structuring
webnlg17_input,1,factual,runwaySurfaceType,structuring
ordering_output,4,fictional,imdbId,structuring
ordering_output,1,fictional,icaoLocationIdentifier,structuring
ordering_output,1,fictional,producer,structuring
ordering_output,1,fictional,writer,structuring
webnlg17_input,97,fictional,producer,structuring
webnlg17_input,77,fictional,writer,structuring
webnlg17_input,48,fictional,professionalField,structuring
webnlg17_input,38,fictional,runtime,structuring
webnlg17_input,30,fictional,artist,structuring
webnlg17_input,23,fictional,type,structuring
webnlg17_input,21,fictional,citizenship,structuring
webnlg17_input,21,fictional,editing,structuring
webnlg17_input,19,fictional,recordedIn,structuring
webnlg17_input,16,fictional,industry,structuring
webnlg17_input,12,fictional,icaoLocationIdentifier,structuring
webnlg17_input,12,fictional,releaseDate,structuring
webnlg17_input,12,fictional,training,structuring
webnlg17_input,11,fictional,imdbId,structuring
webnlg17_input,10,fictional,location,structuring
webnlg17_input,7,fictional,mission,structuring
webnlg17_input,6,fictional,knownFor,structuring
webnlg17_input,5,fictional,cinematography,structuring
webnlg17_input,5,fictional,format,structuring
webnlg17_input,5,fictional,staff,structuring
webnlg17_input,4,fictional,award,structuring
webnlg17_input,3,fictional,architect,structuring
webnlg17_input,3,fictional,city,structuring
webnlg17_input,3,fictional,status,structuring
webnlg17_input,3,fictional,tenant,structuring
webnlg17_input,2,fictional,album,structuring
webnlg17_input,2,fictional,certification,structuring
webnlg17_input,2,fictional,gross,structuring
webnlg17_input,2,fictional,ingredient,structuring
webnlg17_input,2,fictional,musicalBand,structuring
webnlg17_input,2,fictional,numberOfStudents,structuring
webnlg17_input,2,fictional,selectedByNasa,structuring
webnlg17_input,1,fictional,areaOfWater,structuring
webnlg17_input,1,fictional,bodyStyle,structuring
webnlg17_input,1,fictional,budget,structuring
webnlg17_input,1,fictional,cosparId,structuring
webnlg17_input,1,fictional,course,structuring
webnlg17_input,1,fictional,dissolutionYear,structuring
webnlg17_input,1,fictional,governmentType,structuring
webnlg17_input,1,fictional,gridReference,structuring
webnlg17_input,1,fictional,hasToItsNorth,structuring
webnlg17_input,1,fictional,longName,structuring
webnlg17_input,1,fictional,meaning,structuring
webnlg17_input,1,fictional,netIncome,structuring
webnlg17_input,1,fictional,percentageOfAreaWater,structuring
webnlg17_input,1,fictional,populationMetro,structuring
webnlg17_input,1,fictional,region,structuring
