added_predicates,comparison_basis,dataset,file,idx,num_added_triples,num_matched_predicates,num_matched_source_triples,num_omitted_triples,num_predicted_predicates,num_source_triples,omitted_predicates,omitted_triples,position,pred,source_input,task,triple_set_id
,webnlg17_input,factual,results/ordering/factual_ordering.json,36,0,5,5,1,5,6,type,Ciudad_Ayala type City,36,leaderTitle governmentType populationDensity populationMetro utcOffset,"[TRIPLE] Ciudad_Ayala  populationMetro  1777539 [/TRIPLE] [TRIPLE] Ciudad_Ayala  leaderTitle  ""City Manager"" [/TRIPLE] [TRIPLE] Ciudad_Ayala  type  City [/TRIPLE] [TRIPLE] Ciudad_Ayala  populationDensity  1604.0 [/TRIPLE] [TRIPLE] Ciudad_Ayala  governmentType  Council-manager_government [/TRIPLE] [TRIPLE] Ciudad_Ayala  utcOffset  −6 [/TRIPLE]",ordering,36
time,webnlg17_input,factual,results/ordering/factual_ordering.json,37,1,4,4,2,5,6,writer | runtime,Super_Capers writer Ray_Griggs_(director) || Super_Capers runtime 98.0,37,starring starring budget director time,[TRIPLE] Super_Capers  starring  Michael_Rooker [/TRIPLE] [TRIPLE] Super_Capers  starring  Tom_Sizemore [/TRIPLE] [TRIPLE] Super_Capers  budget  2000000.0 [/TRIPLE] [TRIPLE] Super_Capers  writer  Ray_Griggs_(director) [/TRIPLE] [TRIPLE] Super_Capers  director  Ray_Griggs_(director) [/TRIPLE] [TRIPLE] Super_Capers  runtime  98.0 [/TRIPLE],ordering,37
author,webnlg17_input,factual,results/ordering/factual_ordering.json,39,1,1,1,1,2,2,writer,McVeagh_of_the_South_Seas writer Harry_Carey_(actor_born_1878),39,starring author,[TRIPLE] McVeagh_of_the_South_Seas  starring  Harry_Carey_(actor_born_1878) [/TRIPLE] [TRIPLE] McVeagh_of_the_South_Seas  writer  Harry_Carey_(actor_born_1878) [/TRIPLE],ordering,39
mainIngredients,webnlg17_input,factual,results/ordering/factual_ordering.json,40,1,6,6,1,7,7,mainIngredient,"Bionico mainIngredient ""Chopped Fruits, Sour Cream, Condensed Milk, Granola, Shredded Coconut, Raisins""",40,dishVariation course region country mainIngredients currency demonym,"[TRIPLE] Mexico  currency  Mexican_peso [/TRIPLE] [TRIPLE] Mexico  demonym  Mexicans [/TRIPLE] [TRIPLE] Bionico  course  Dessert [/TRIPLE] [TRIPLE] Bionico  region  Guadalajara [/TRIPLE] [TRIPLE] Dessert  dishVariation  Cookie [/TRIPLE] [TRIPLE] Bionico  mainIngredient  ""Chopped Fruits, Sour Cream, Condensed Milk, Granola, Shredded Coconut, Raisins"" [/TRIPLE] [TRIPLE] Bionico  country  Mexico [/TRIPLE]",ordering,40
city,webnlg17_input,factual,results/ordering/factual_ordering.json,41,1,2,2,1,3,3,type,Ciudad_Ayala type City,41,leaderTitle city populationDensity,"[TRIPLE] Ciudad_Ayala  leaderTitle  ""City Manager"" [/TRIPLE] [TRIPLE] Ciudad_Ayala  type  City [/TRIPLE] [TRIPLE] Ciudad_Ayala  populationDensity  1604.0 [/TRIPLE]",ordering,41
,webnlg17_input,factual,results/ordering/factual_ordering.json,42,0,4,4,1,4,5,city,ENAIRE city Madrid,42,location country operatingOrganisation runwayLength,[TRIPLE] Adolfo_Suárez_Madrid–Barajas_Airport  operatingOrganisation  ENAIRE [/TRIPLE] [TRIPLE] Adolfo_Suárez_Madrid–Barajas_Airport  location  Alcobendas [/TRIPLE] [TRIPLE] ENAIRE  city  Madrid [/TRIPLE] [TRIPLE] Adolfo_Suárez_Madrid–Barajas_Airport  runwayLength  3500.0 [/TRIPLE] [TRIPLE] Madrid  country  Spain [/TRIPLE],ordering,42
,webnlg17_input,factual,results/ordering/factual_ordering.json,49,0,1,1,1,1,2,artist,Nord_(Year_of_No_Light_album) artist Year_of_No_Light,49,followedBy,[TRIPLE] Nord_(Year_of_No_Light_album)  followedBy  Live_at_Roadburn_2008_(Year_of_No_Light_album) [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  artist  Year_of_No_Light [/TRIPLE],ordering,49
,webnlg17_input,factual,results/ordering/factual_ordering.json,50,0,3,3,1,3,4,mission,Alan_Shepard mission Apollo_14,50,birthPlace birthDate deathPlace,"[TRIPLE] Alan_Shepard  birthDate  ""1923-11-18"" [/TRIPLE] [TRIPLE] Alan_Shepard  deathPlace  California [/TRIPLE] [TRIPLE] Alan_Shepard  birthPlace  New_Hampshire [/TRIPLE] [TRIPLE] Alan_Shepard  mission  Apollo_14 [/TRIPLE]",ordering,50
,webnlg17_input,factual,results/ordering/factual_ordering.json,52,0,3,3,1,3,4,knownFor,Olga_Bondareva knownFor Bondareva–Shapley_theorem,52,birthName birthDate deathPlace,"[TRIPLE] Olga_Bondareva  deathPlace  Saint_Petersburg [/TRIPLE] [TRIPLE] Olga_Bondareva  birthDate  1937-04-27 [/TRIPLE] [TRIPLE] Olga_Bondareva  knownFor  Bondareva–Shapley_theorem [/TRIPLE] [TRIPLE] Olga_Bondareva  birthName  ""Olga Nikolaevna Bondareva"" [/TRIPLE]",ordering,52
author | publisher,webnlg17_input,factual,results/ordering/factual_ordering.json,54,2,2,2,3,4,5,writer | writer | producer,Mermaid_(Train_song) writer Amund_Bjørklund || Mermaid_(Train_song) writer Stargate_(production_team) || Mermaid_(Train_song) producer Espionage_(production_team),54,recordLabel followedBy author publisher,[TRIPLE] Mermaid_(Train_song)  recordLabel  Sony_Music_Entertainment [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  writer  Amund_Bjørklund [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  writer  Stargate_(production_team) [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  followedBy  Imagine_(John_Lennon_song) [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  producer  Espionage_(production_team) [/TRIPLE],ordering,54
record | time,webnlg17_input,factual,results/ordering/factual_ordering.json,55,2,3,3,2,5,5,artist | runtime,Nord_(Year_of_No_Light_album) artist Year_of_No_Light || Nord_(Year_of_No_Light_album) runtime 58.41,55,followedBy precededBy record releaseDate time,[TRIPLE] Nord_(Year_of_No_Light_album)  followedBy  Live_at_Roadburn_2008_(Year_of_No_Light_album) [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  artist  Year_of_No_Light [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  releaseDate  2006-09-06 [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  runtime  58.41 [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  precededBy  Demo_2004_(Year_of_No_Light_album) [/TRIPLE],ordering,55
operatingIncome,webnlg17_input,factual,results/ordering/factual_ordering.json,58,1,3,3,3,4,6,regionServed | industry | netIncome,AmeriGas regionServed United_States || AmeriGas industry Energy_industry || AmeriGas netIncome 211200000,58,city country operatingIncome operatingIncome,"[TRIPLE] AmeriGas  regionServed  United_States [/TRIPLE] [TRIPLE] AmeriGas  city  King_of_Prussia,_Pennsylvania [/TRIPLE] [TRIPLE] AmeriGas  operatingIncome  380700000 [/TRIPLE] [TRIPLE] AmeriGas  industry  Energy_industry [/TRIPLE] [TRIPLE] AmeriGas  country  United_States [/TRIPLE] [TRIPLE] AmeriGas  netIncome  211200000 [/TRIPLE]",ordering,58
recordIn,webnlg17_input,factual,results/ordering/factual_ordering.json,65,1,2,2,2,3,4,producer | recordedIn,"Bootleg_Series_Volume_1:_The_Quine_Tapes producer The_Velvet_Underground || Bootleg_Series_Volume_1:_The_Quine_Tapes recordedIn St._Louis,_Missouri",65,genre recordedIn recordIn,"[TRIPLE] Bootleg_Series_Volume_1:_The_Quine_Tapes  producer  The_Velvet_Underground [/TRIPLE] [TRIPLE] Bootleg_Series_Volume_1:_The_Quine_Tapes  recordedIn  United_States [/TRIPLE] [TRIPLE] Bootleg_Series_Volume_1:_The_Quine_Tapes  recordedIn  St._Louis,_Missouri [/TRIPLE] [TRIPLE] Bootleg_Series_Volume_1:_The_Quine_Tapes  genre  Rock_music [/TRIPLE]",ordering,65
,webnlg17_input,factual,results/ordering/factual_ordering.json,81,0,4,4,3,4,7,producer | artist | genre,Nord_(Year_of_No_Light_album) producer Year_of_No_Light || Nord_(Year_of_No_Light_album) artist Year_of_No_Light || Nord_(Year_of_No_Light_album) genre Post-metal,81,genre followedBy recordLabel releaseDate,[TRIPLE] Nord_(Year_of_No_Light_album)  releaseDate  2006-09-06 [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  followedBy  Live_at_Roadburn_2008_(Year_of_No_Light_album) [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  genre  Sludge_metal [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  producer  Year_of_No_Light [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  artist  Year_of_No_Light [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  genre  Post-metal [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  recordLabel  Crucial_Blast [/TRIPLE],ordering,81
production_team,webnlg17_input,factual,results/ordering/factual_ordering.json,82,1,2,2,2,3,4,certification | producer,Imagine_(John_Lennon_song) certification FIMI || Mermaid_(Train_song) producer Espionage_(production_team),82,followedBy musicalArtist production_team,[TRIPLE] Mermaid_(Train_song)  followedBy  Imagine_(John_Lennon_song) [/TRIPLE] [TRIPLE] Imagine_(John_Lennon_song)  certification  FIMI [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  producer  Espionage_(production_team) [/TRIPLE] [TRIPLE] Imagine_(John_Lennon_song)  musicalArtist  John_Lennon [/TRIPLE],ordering,82
recordIn | recordLength,webnlg17_input,factual,results/ordering/factual_ordering.json,88,2,1,1,4,3,5,artist | producer | runtime | recordedIn,Bootleg_Series_Volume_1:_The_Quine_Tapes artist The_Velvet_Underground || Bootleg_Series_Volume_1:_The_Quine_Tapes producer The_Velvet_Underground || Bootleg_Series_Volume_1:_The_Quine_Tapes runtime 230.05 || Bootleg_Series_Volume_1:_The_Quine_Tapes recordedIn United_States,88,genre recordIn recordLength,[TRIPLE] Bootleg_Series_Volume_1:_The_Quine_Tapes  artist  The_Velvet_Underground [/TRIPLE] [TRIPLE] Bootleg_Series_Volume_1:_The_Quine_Tapes  producer  The_Velvet_Underground [/TRIPLE] [TRIPLE] Bootleg_Series_Volume_1:_The_Quine_Tapes  runtime  230.05 [/TRIPLE] [TRIPLE] Bootleg_Series_Volume_1:_The_Quine_Tapes  recordedIn  United_States [/TRIPLE] [TRIPLE] Bootleg_Series_Volume_1:_The_Quine_Tapes  genre  Rock_music [/TRIPLE],ordering,88
author | precededBy | launchDate | time,webnlg17_input,factual,results/ordering/factual_ordering.json,94,4,1,1,4,5,5,releaseDate | writer | runtime | writer,Mermaid_(Train_song) releaseDate 2012-12-27 || Mermaid_(Train_song) writer Espen_Lind || Mermaid_(Train_song) runtime 3.16 || Mermaid_(Train_song) writer Amund_Bjørklund,94,precededBy author precededBy launchDate time,[TRIPLE] Mermaid_(Train_song)  releaseDate  2012-12-27 [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  precededBy  This'll_Be_My_Year [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  writer  Espen_Lind [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  runtime  3.16 [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  writer  Amund_Bjørklund [/TRIPLE],ordering,94
mainIngredients,webnlg17_input,factual,results/ordering/factual_ordering.json,96,1,3,3,1,4,4,mainIngredient,"Bionico mainIngredient ""Chopped Fruits, Sour Cream, Condensed Milk, Granola, Shredded Coconut, Raisins""",96,course country mainIngredients currency,"[TRIPLE] Mexico  currency  Mexican_peso [/TRIPLE] [TRIPLE] Bionico  course  Dessert [/TRIPLE] [TRIPLE] Bionico  mainIngredient  ""Chopped Fruits, Sour Cream, Condensed Milk, Granola, Shredded Coconut, Raisins"" [/TRIPLE] [TRIPLE] Bionico  country  Mexico [/TRIPLE]",ordering,96
profession,webnlg17_input,factual,results/ordering/factual_ordering.json,101,1,1,1,1,2,2,professionalField,Darinka_Dentcheva professionalField Mathematical_optimization,101,almaMater profession,[TRIPLE] Darinka_Dentcheva  professionalField  Mathematical_optimization [/TRIPLE] [TRIPLE] Darinka_Dentcheva  almaMater  Humboldt_University [/TRIPLE],ordering,101
broadcastedBy,webnlg17_input,factual,results/ordering/factual_ordering.json,112,1,4,4,0,5,4,,,112,starring broadcastedBy broadcastedBy lastAired city,"[TRIPLE] BBC  city  Broadcasting_House [/TRIPLE] [TRIPLE] Bananaman  starring  Bill_Oddie [/TRIPLE] [TRIPLE] Bananaman  lastAired  ""1986-04-15"" [/TRIPLE] [TRIPLE] Bananaman  broadcastedBy  BBC [/TRIPLE]",ordering,112
author,webnlg17_input,factual,results/ordering/factual_ordering.json,113,1,3,3,2,4,5,writer | writer,English_Without_Tears writer Anatole_de_Grunwald || English_Without_Tears writer Terence_Rattigan,113,activeYearsStartYear director author deathYear,[TRIPLE] English_Without_Tears  director  Harold_French [/TRIPLE] [TRIPLE] Terence_Rattigan  deathYear  1977-01-01 [/TRIPLE] [TRIPLE] Harold_French  activeYearsStartYear  1920-01-01 [/TRIPLE] [TRIPLE] English_Without_Tears  writer  Anatole_de_Grunwald [/TRIPLE] [TRIPLE] English_Without_Tears  writer  Terence_Rattigan [/TRIPLE],ordering,113
,webnlg17_input,factual,results/ordering/factual_ordering.json,117,0,6,6,1,6,7,type,Hypermarcas type S.A._(corporation),117,location foundingDate numberOfEmployees product industry keyPerson,[TRIPLE] Hypermarcas  location  Brazil [/TRIPLE] [TRIPLE] Hypermarcas  product  Drugs [/TRIPLE] [TRIPLE] Hypermarcas  industry  Pharmaceuticals [/TRIPLE] [TRIPLE] Hypermarcas  keyPerson  CEO [/TRIPLE] [TRIPLE] Hypermarcas  foundingDate  2001-01-01 [/TRIPLE] [TRIPLE] Hypermarcas  type  S.A._(corporation) [/TRIPLE] [TRIPLE] Hypermarcas  numberOfEmployees  10252 [/TRIPLE],ordering,117
director,webnlg17_input,factual,results/ordering/factual_ordering.json,121,1,2,2,1,3,3,writer,Super_Capers writer Ray_Griggs_(director),121,starring director runtime,[TRIPLE] Super_Capers  starring  Danielle_Harris [/TRIPLE] [TRIPLE] Super_Capers  writer  Ray_Griggs_(director) [/TRIPLE] [TRIPLE] Super_Capers  runtime  98.0 [/TRIPLE],ordering,121
author,webnlg17_input,factual,results/ordering/factual_ordering.json,122,1,3,3,1,4,4,writer,English_Without_Tears writer Terence_Rattigan,122,birthYear director author deathDate,[TRIPLE] English_Without_Tears  writer  Terence_Rattigan [/TRIPLE] [TRIPLE] Terence_Rattigan  deathDate  1977-11-30 [/TRIPLE] [TRIPLE] English_Without_Tears  director  Harold_French [/TRIPLE] [TRIPLE] Harold_French  birthYear  1897 [/TRIPLE],ordering,122
creator,webnlg17_input,factual,results/ordering/factual_ordering.json,130,1,1,1,2,2,3,writer | producer,McVeagh_of_the_South_Seas writer Harry_Carey_(actor_born_1878) || McVeagh_of_the_South_Seas producer The_Progressive_Motion_Picture_Company,130,director creator,[TRIPLE] McVeagh_of_the_South_Seas  director  Harry_Carey_(actor_born_1878) [/TRIPLE] [TRIPLE] McVeagh_of_the_South_Seas  writer  Harry_Carey_(actor_born_1878) [/TRIPLE] [TRIPLE] McVeagh_of_the_South_Seas  producer  The_Progressive_Motion_Picture_Company [/TRIPLE],ordering,130
,webnlg17_input,factual,results/ordering/factual_ordering.json,135,0,3,3,1,3,4,producer,Death_on_a_Factory_Farm producer Tom_Simon,135,musicComposer director broadcastedBy,[TRIPLE] Death_on_a_Factory_Farm  director  Tom_Simon [/TRIPLE] [TRIPLE] Death_on_a_Factory_Farm  producer  Tom_Simon [/TRIPLE] [TRIPLE] Death_on_a_Factory_Farm  broadcastedBy  HBO [/TRIPLE] [TRIPLE] Death_on_a_Factory_Farm  musicComposer  Jamie_Lawrence [/TRIPLE],ordering,135
,webnlg17_input,factual,results/ordering/factual_ordering.json,145,0,2,2,1,2,3,mission,Alan_Shepard mission Apollo_14,145,birthPlace deathPlace,[TRIPLE] Alan_Shepard  deathPlace  California [/TRIPLE] [TRIPLE] Alan_Shepard  birthPlace  New_Hampshire [/TRIPLE] [TRIPLE] Alan_Shepard  mission  Apollo_14 [/TRIPLE],ordering,145
,webnlg17_input,factual,results/ordering/factual_ordering.json,148,0,4,4,1,4,5,producer,Nord_(Year_of_No_Light_album) producer Year_of_No_Light,148,genre genre followedBy releaseDate,[TRIPLE] Nord_(Year_of_No_Light_album)  releaseDate  2006-09-06 [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  followedBy  Live_at_Roadburn_2008_(Year_of_No_Light_album) [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  genre  Sludge_metal [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  producer  Year_of_No_Light [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  genre  Post-metal [/TRIPLE],ordering,148
,webnlg17_input,factual,results/ordering/factual_ordering.json,150,0,3,3,2,3,5,producer | artist,Nord_(Year_of_No_Light_album) producer Year_of_No_Light || Nord_(Year_of_No_Light_album) artist Year_of_No_Light,150,genre followedBy releaseDate,[TRIPLE] Nord_(Year_of_No_Light_album)  releaseDate  2006-09-06 [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  followedBy  Live_at_Roadburn_2008_(Year_of_No_Light_album) [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  genre  Sludge_metal [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  producer  Year_of_No_Light [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  artist  Year_of_No_Light [/TRIPLE],ordering,150
creator,webnlg17_input,factual,results/ordering/factual_ordering.json,151,1,2,2,2,3,4,producer | artist,Nord_(Year_of_No_Light_album) producer Year_of_No_Light || Nord_(Year_of_No_Light_album) artist Year_of_No_Light,151,followedBy recordLabel creator,[TRIPLE] Nord_(Year_of_No_Light_album)  followedBy  Live_at_Roadburn_2008_(Year_of_No_Light_album) [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  producer  Year_of_No_Light [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  artist  Year_of_No_Light [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  recordLabel  Crucial_Blast [/TRIPLE],ordering,151
editor | musicComposer,webnlg17_input,factual,results/ordering/factual_ordering.json,159,2,2,2,3,4,5,writer | runtime | editing,English_Without_Tears writer Terence_Rattigan || English_Without_Tears runtime 89.0 || English_Without_Tears editing Alan_Jaggs,159,musicComposer editor releaseDate musicComposer,[TRIPLE] English_Without_Tears  releaseDate  1944-07-28 [/TRIPLE] [TRIPLE] English_Without_Tears  writer  Terence_Rattigan [/TRIPLE] [TRIPLE] English_Without_Tears  runtime  89.0 [/TRIPLE] [TRIPLE] English_Without_Tears  editing  Alan_Jaggs [/TRIPLE] [TRIPLE] English_Without_Tears  musicComposer  Nicholas_Brodszky [/TRIPLE],ordering,159
,webnlg17_input,factual,results/ordering/factual_ordering.json,167,0,4,4,1,4,5,producer,Death_on_a_Factory_Farm producer Sarah_Teale,167,director director producer runtime,[TRIPLE] Death_on_a_Factory_Farm  director  Tom_Simon [/TRIPLE] [TRIPLE] Death_on_a_Factory_Farm  producer  Tom_Simon [/TRIPLE] [TRIPLE] Death_on_a_Factory_Farm  producer  Sarah_Teale [/TRIPLE] [TRIPLE] Death_on_a_Factory_Farm  director  Sarah_Teale [/TRIPLE] [TRIPLE] Death_on_a_Factory_Farm  runtime  83.0 [/TRIPLE],ordering,167
isdbId,webnlg17_input,factual,results/ordering/factual_ordering.json,170,1,2,2,1,3,3,imdbId,McVeagh_of_the_South_Seas imdbId 0004319,170,director director isdbId,[TRIPLE] McVeagh_of_the_South_Seas  imdbId  0004319 [/TRIPLE] [TRIPLE] McVeagh_of_the_South_Seas  director  Cyril_Bruce [/TRIPLE] [TRIPLE] McVeagh_of_the_South_Seas  director  Harry_Carey_(actor_born_1878) [/TRIPLE],ordering,170
editor | publisher,webnlg17_input,factual,results/ordering/factual_ordering.json,171,2,2,2,2,4,4,editing | producer,English_Without_Tears editing Alan_Jaggs || English_Without_Tears producer Anatole_de_Grunwald,171,director editor publisher releaseDate,[TRIPLE] English_Without_Tears  releaseDate  1944-07-28 [/TRIPLE] [TRIPLE] English_Without_Tears  director  Harold_French [/TRIPLE] [TRIPLE] English_Without_Tears  editing  Alan_Jaggs [/TRIPLE] [TRIPLE] English_Without_Tears  producer  Anatole_de_Grunwald [/TRIPLE],ordering,171
,webnlg17_input,factual,results/ordering/factual_ordering.json,176,0,3,3,1,3,4,type,Morelos type States_of_Mexico,176,isPartOf country areaTotal,[TRIPLE] Ciudad_Ayala  country  Mexico [/TRIPLE] [TRIPLE] Mexico  areaTotal  1972550.0 [/TRIPLE] [TRIPLE] Ciudad_Ayala  isPartOf  Morelos [/TRIPLE] [TRIPLE] Morelos  type  States_of_Mexico [/TRIPLE],ordering,176
production | time,webnlg17_input,factual,results/ordering/factual_ordering.json,179,2,1,1,2,3,3,producer | runtime,Death_on_a_Factory_Farm producer Sarah_Teale || Death_on_a_Factory_Farm runtime 83.0,179,director production time,[TRIPLE] Death_on_a_Factory_Farm  producer  Sarah_Teale [/TRIPLE] [TRIPLE] Death_on_a_Factory_Farm  director  Sarah_Teale [/TRIPLE] [TRIPLE] Death_on_a_Factory_Farm  runtime  83.0 [/TRIPLE],ordering,179
