change_type,comparison_basis,dataset,file,idx,object,position,pred,predicate,predicted_predicate_index,source_input,source_triple_index,subject,task,triple,triple_set_id
omitted,webnlg17_input,factual,results/ordering/factual_ordering.json,23,Espionage_(production_team),23,followedBy album production_team,producer,,[TRIPLE] Mermaid_(Train_song)  followedBy  Imagine_(John_Lennon_song) [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  producer  Espionage_(production_team) [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  album  California_37_(Train_album) [/TRIPLE],1,Mermaid_(Train_song),ordering,Mermaid_(Train_song) producer Espionage_(production_team),23
added,webnlg17_input,factual,results/ordering/factual_ordering.json,23,,23,followedBy album production_team,production_team,2,[TRIPLE] Mermaid_(Train_song)  followedBy  Imagine_(John_Lennon_song) [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  producer  Espionage_(production_team) [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  album  California_37_(Train_album) [/TRIPLE],,,ordering,,23
omitted,webnlg17_input,factual,results/ordering/factual_ordering.json,26,Terence_Rattigan,26,author runtime cinematography,writer,,[TRIPLE] English_Without_Tears  cinematography  Bernard_Knowles [/TRIPLE] [TRIPLE] English_Without_Tears  writer  Terence_Rattigan [/TRIPLE] [TRIPLE] English_Without_Tears  runtime  89.0 [/TRIPLE],1,English_Without_Tears,ordering,English_Without_Tears writer Terence_Rattigan,26
added,webnlg17_input,factual,results/ordering/factual_ordering.json,26,,26,author runtime cinematography,author,0,[TRIPLE] English_Without_Tears  cinematography  Bernard_Knowles [/TRIPLE] [TRIPLE] English_Without_Tears  writer  Terence_Rattigan [/TRIPLE] [TRIPLE] English_Without_Tears  runtime  89.0 [/TRIPLE],,,ordering,,26
omitted,webnlg17_input,factual,results/ordering/factual_ordering.json,27,Botany,27,spouse deathDate,professionalField,,[TRIPLE] Lady_Anne_Monson  spouse  George_Monson [/TRIPLE] [TRIPLE] Lady_Anne_Monson  deathDate  1776-02-18 [/TRIPLE] [TRIPLE] Lady_Anne_Monson  professionalField  Botany [/TRIPLE],2,Lady_Anne_Monson,ordering,Lady_Anne_Monson professionalField Botany,27
omitted,webnlg17_input,factual,results/ordering/factual_ordering.json,29,School_of_Applied_Arts_in_Stuttgart,29,nationality birthPlace country language,training,,[TRIPLE] Liselotte_Grschebina  birthPlace  Karlsruhe [/TRIPLE] [TRIPLE] Liselotte_Grschebina  nationality  Israel [/TRIPLE] [TRIPLE] Liselotte_Grschebina  training  School_of_Applied_Arts_in_Stuttgart [/TRIPLE] [TRIPLE] Karlsruhe  country  Germany [/TRIPLE] [TRIPLE] Israel  language  Modern_Hebrew [/TRIPLE],2,Liselotte_Grschebina,ordering,Liselotte_Grschebina training School_of_Applied_Arts_in_Stuttgart,29
omitted,webnlg17_input,factual,results/ordering/factual_ordering.json,31,Espen_Lind,31,genre recordLabel recordLabel runtime author,writer,,[TRIPLE] Mermaid_(Train_song)  recordLabel  Columbia_Records [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  runtime  3.16 [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  recordLabel  Sony_Music_Entertainment [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  writer  Espen_Lind [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  genre  Reggae [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  writer  Amund_Bjørklund [/TRIPLE],3,Mermaid_(Train_song),ordering,Mermaid_(Train_song) writer Espen_Lind,31
omitted,webnlg17_input,factual,results/ordering/factual_ordering.json,31,Amund_Bjørklund,31,genre recordLabel recordLabel runtime author,writer,,[TRIPLE] Mermaid_(Train_song)  recordLabel  Columbia_Records [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  runtime  3.16 [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  recordLabel  Sony_Music_Entertainment [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  writer  Espen_Lind [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  genre  Reggae [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  writer  Amund_Bjørklund [/TRIPLE],5,Mermaid_(Train_song),ordering,Mermaid_(Train_song) writer Amund_Bjørklund,31
added,webnlg17_input,factual,results/ordering/factual_ordering.json,31,,31,genre recordLabel recordLabel runtime author,author,4,[TRIPLE] Mermaid_(Train_song)  recordLabel  Columbia_Records [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  runtime  3.16 [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  recordLabel  Sony_Music_Entertainment [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  writer  Espen_Lind [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  genre  Reggae [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  writer  Amund_Bjørklund [/TRIPLE],,,ordering,,31
omitted,webnlg17_input,factual,results/ordering/factual_ordering.json,32,Ted_Willis,32,starring musicComposer author,writer,,[TRIPLE] It's_Great_to_Be_Young_(1956_film)  musicComposer  Louis_Levy [/TRIPLE] [TRIPLE] It's_Great_to_Be_Young_(1956_film)  starring  Cecil_Parker [/TRIPLE] [TRIPLE] It's_Great_to_Be_Young_(1956_film)  writer  Ted_Willis [/TRIPLE],2,It's_Great_to_Be_Young_(1956_film),ordering,It's_Great_to_Be_Young_(1956_film) writer Ted_Willis,32
added,webnlg17_input,factual,results/ordering/factual_ordering.json,32,,32,starring musicComposer author,author,2,[TRIPLE] It's_Great_to_Be_Young_(1956_film)  musicComposer  Louis_Levy [/TRIPLE] [TRIPLE] It's_Great_to_Be_Young_(1956_film)  starring  Cecil_Parker [/TRIPLE] [TRIPLE] It's_Great_to_Be_Young_(1956_film)  writer  Ted_Willis [/TRIPLE],,,ordering,,32
omitted,webnlg17_input,factual,results/ordering/factual_ordering.json,35,Year_of_No_Light,35,genre genre recordLabel releaseDate,producer,,[TRIPLE] Nord_(Year_of_No_Light_album)  genre  Sludge_metal [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  producer  Year_of_No_Light [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  genre  Post-metal [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  recordLabel  Crucial_Blast [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  releaseDate  2006-09-06 [/TRIPLE],1,Nord_(Year_of_No_Light_album),ordering,Nord_(Year_of_No_Light_album) producer Year_of_No_Light,35
omitted,webnlg17_input,factual,results/ordering/factual_ordering.json,36,City,36,leaderTitle governmentType populationDensity populationMetro utcOffset,type,,"[TRIPLE] Ciudad_Ayala  populationMetro  1777539 [/TRIPLE] [TRIPLE] Ciudad_Ayala  leaderTitle  ""City Manager"" [/TRIPLE] [TRIPLE] Ciudad_Ayala  type  City [/TRIPLE] [TRIPLE] Ciudad_Ayala  populationDensity  1604.0 [/TRIPLE] [TRIPLE] Ciudad_Ayala  governmentType  Council-manager_government [/TRIPLE] [TRIPLE] Ciudad_Ayala  utcOffset  −6 [/TRIPLE]",2,Ciudad_Ayala,ordering,Ciudad_Ayala type City,36
omitted,webnlg17_input,factual,results/ordering/factual_ordering.json,37,Ray_Griggs_(director),37,starring starring budget director time,writer,,[TRIPLE] Super_Capers  starring  Michael_Rooker [/TRIPLE] [TRIPLE] Super_Capers  starring  Tom_Sizemore [/TRIPLE] [TRIPLE] Super_Capers  budget  2000000.0 [/TRIPLE] [TRIPLE] Super_Capers  writer  Ray_Griggs_(director) [/TRIPLE] [TRIPLE] Super_Capers  director  Ray_Griggs_(director) [/TRIPLE] [TRIPLE] Super_Capers  runtime  98.0 [/TRIPLE],3,Super_Capers,ordering,Super_Capers writer Ray_Griggs_(director),37
omitted,webnlg17_input,factual,results/ordering/factual_ordering.json,37,98.0,37,starring starring budget director time,runtime,,[TRIPLE] Super_Capers  starring  Michael_Rooker [/TRIPLE] [TRIPLE] Super_Capers  starring  Tom_Sizemore [/TRIPLE] [TRIPLE] Super_Capers  budget  2000000.0 [/TRIPLE] [TRIPLE] Super_Capers  writer  Ray_Griggs_(director) [/TRIPLE] [TRIPLE] Super_Capers  director  Ray_Griggs_(director) [/TRIPLE] [TRIPLE] Super_Capers  runtime  98.0 [/TRIPLE],5,Super_Capers,ordering,Super_Capers runtime 98.0,37
added,webnlg17_input,factual,results/ordering/factual_ordering.json,37,,37,starring starring budget director time,time,4,[TRIPLE] Super_Capers  starring  Michael_Rooker [/TRIPLE] [TRIPLE] Super_Capers  starring  Tom_Sizemore [/TRIPLE] [TRIPLE] Super_Capers  budget  2000000.0 [/TRIPLE] [TRIPLE] Super_Capers  writer  Ray_Griggs_(director) [/TRIPLE] [TRIPLE] Super_Capers  director  Ray_Griggs_(director) [/TRIPLE] [TRIPLE] Super_Capers  runtime  98.0 [/TRIPLE],,,ordering,,37
omitted,webnlg17_input,factual,results/ordering/factual_ordering.json,39,Harry_Carey_(actor_born_1878),39,starring author,writer,,[TRIPLE] McVeagh_of_the_South_Seas  starring  Harry_Carey_(actor_born_1878) [/TRIPLE] [TRIPLE] McVeagh_of_the_South_Seas  writer  Harry_Carey_(actor_born_1878) [/TRIPLE],1,McVeagh_of_the_South_Seas,ordering,McVeagh_of_the_South_Seas writer Harry_Carey_(actor_born_1878),39
added,webnlg17_input,factual,results/ordering/factual_ordering.json,39,,39,starring author,author,1,[TRIPLE] McVeagh_of_the_South_Seas  starring  Harry_Carey_(actor_born_1878) [/TRIPLE] [TRIPLE] McVeagh_of_the_South_Seas  writer  Harry_Carey_(actor_born_1878) [/TRIPLE],,,ordering,,39
omitted,webnlg17_input,factual,results/ordering/factual_ordering.json,40,"""Chopped Fruits, Sour Cream, Condensed Milk, Granola, Shredded Coconut, Raisins""",40,dishVariation course region country mainIngredients currency demonym,mainIngredient,,"[TRIPLE] Mexico  currency  Mexican_peso [/TRIPLE] [TRIPLE] Mexico  demonym  Mexicans [/TRIPLE] [TRIPLE] Bionico  course  Dessert [/TRIPLE] [TRIPLE] Bionico  region  Guadalajara [/TRIPLE] [TRIPLE] Dessert  dishVariation  Cookie [/TRIPLE] [TRIPLE] Bionico  mainIngredient  ""Chopped Fruits, Sour Cream, Condensed Milk, Granola, Shredded Coconut, Raisins"" [/TRIPLE] [TRIPLE] Bionico  country  Mexico [/TRIPLE]",5,Bionico,ordering,"Bionico mainIngredient ""Chopped Fruits, Sour Cream, Condensed Milk, Granola, Shredded Coconut, Raisins""",40
added,webnlg17_input,factual,results/ordering/factual_ordering.json,40,,40,dishVariation course region country mainIngredients currency demonym,mainIngredients,4,"[TRIPLE] Mexico  currency  Mexican_peso [/TRIPLE] [TRIPLE] Mexico  demonym  Mexicans [/TRIPLE] [TRIPLE] Bionico  course  Dessert [/TRIPLE] [TRIPLE] Bionico  region  Guadalajara [/TRIPLE] [TRIPLE] Dessert  dishVariation  Cookie [/TRIPLE] [TRIPLE] Bionico  mainIngredient  ""Chopped Fruits, Sour Cream, Condensed Milk, Granola, Shredded Coconut, Raisins"" [/TRIPLE] [TRIPLE] Bionico  country  Mexico [/TRIPLE]",,,ordering,,40
omitted,webnlg17_input,factual,results/ordering/factual_ordering.json,41,City,41,leaderTitle city populationDensity,type,,"[TRIPLE] Ciudad_Ayala  leaderTitle  ""City Manager"" [/TRIPLE] [TRIPLE] Ciudad_Ayala  type  City [/TRIPLE] [TRIPLE] Ciudad_Ayala  populationDensity  1604.0 [/TRIPLE]",1,Ciudad_Ayala,ordering,Ciudad_Ayala type City,41
added,webnlg17_input,factual,results/ordering/factual_ordering.json,41,,41,leaderTitle city populationDensity,city,1,"[TRIPLE] Ciudad_Ayala  leaderTitle  ""City Manager"" [/TRIPLE] [TRIPLE] Ciudad_Ayala  type  City [/TRIPLE] [TRIPLE] Ciudad_Ayala  populationDensity  1604.0 [/TRIPLE]",,,ordering,,41
omitted,webnlg17_input,factual,results/ordering/factual_ordering.json,42,Madrid,42,location country operatingOrganisation runwayLength,city,,[TRIPLE] Adolfo_Suárez_Madrid–Barajas_Airport  operatingOrganisation  ENAIRE [/TRIPLE] [TRIPLE] Adolfo_Suárez_Madrid–Barajas_Airport  location  Alcobendas [/TRIPLE] [TRIPLE] ENAIRE  city  Madrid [/TRIPLE] [TRIPLE] Adolfo_Suárez_Madrid–Barajas_Airport  runwayLength  3500.0 [/TRIPLE] [TRIPLE] Madrid  country  Spain [/TRIPLE],2,ENAIRE,ordering,ENAIRE city Madrid,42
omitted,webnlg17_input,factual,results/ordering/factual_ordering.json,49,Year_of_No_Light,49,followedBy,artist,,[TRIPLE] Nord_(Year_of_No_Light_album)  followedBy  Live_at_Roadburn_2008_(Year_of_No_Light_album) [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  artist  Year_of_No_Light [/TRIPLE],1,Nord_(Year_of_No_Light_album),ordering,Nord_(Year_of_No_Light_album) artist Year_of_No_Light,49
omitted,webnlg17_input,factual,results/ordering/factual_ordering.json,50,Apollo_14,50,birthPlace birthDate deathPlace,mission,,"[TRIPLE] Alan_Shepard  birthDate  ""1923-11-18"" [/TRIPLE] [TRIPLE] Alan_Shepard  deathPlace  California [/TRIPLE] [TRIPLE] Alan_Shepard  birthPlace  New_Hampshire [/TRIPLE] [TRIPLE] Alan_Shepard  mission  Apollo_14 [/TRIPLE]",3,Alan_Shepard,ordering,Alan_Shepard mission Apollo_14,50
omitted,webnlg17_input,factual,results/ordering/factual_ordering.json,52,Bondareva–Shapley_theorem,52,birthName birthDate deathPlace,knownFor,,"[TRIPLE] Olga_Bondareva  deathPlace  Saint_Petersburg [/TRIPLE] [TRIPLE] Olga_Bondareva  birthDate  1937-04-27 [/TRIPLE] [TRIPLE] Olga_Bondareva  knownFor  Bondareva–Shapley_theorem [/TRIPLE] [TRIPLE] Olga_Bondareva  birthName  ""Olga Nikolaevna Bondareva"" [/TRIPLE]",2,Olga_Bondareva,ordering,Olga_Bondareva knownFor Bondareva–Shapley_theorem,52
omitted,webnlg17_input,factual,results/ordering/factual_ordering.json,54,Amund_Bjørklund,54,recordLabel followedBy author publisher,writer,,[TRIPLE] Mermaid_(Train_song)  recordLabel  Sony_Music_Entertainment [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  writer  Amund_Bjørklund [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  writer  Stargate_(production_team) [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  followedBy  Imagine_(John_Lennon_song) [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  producer  Espionage_(production_team) [/TRIPLE],1,Mermaid_(Train_song),ordering,Mermaid_(Train_song) writer Amund_Bjørklund,54
omitted,webnlg17_input,factual,results/ordering/factual_ordering.json,54,Stargate_(production_team),54,recordLabel followedBy author publisher,writer,,[TRIPLE] Mermaid_(Train_song)  recordLabel  Sony_Music_Entertainment [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  writer  Amund_Bjørklund [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  writer  Stargate_(production_team) [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  followedBy  Imagine_(John_Lennon_song) [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  producer  Espionage_(production_team) [/TRIPLE],2,Mermaid_(Train_song),ordering,Mermaid_(Train_song) writer Stargate_(production_team),54
omitted,webnlg17_input,factual,results/ordering/factual_ordering.json,54,Espionage_(production_team),54,recordLabel followedBy author publisher,producer,,[TRIPLE] Mermaid_(Train_song)  recordLabel  Sony_Music_Entertainment [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  writer  Amund_Bjørklund [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  writer  Stargate_(production_team) [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  followedBy  Imagine_(John_Lennon_song) [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  producer  Espionage_(production_team) [/TRIPLE],4,Mermaid_(Train_song),ordering,Mermaid_(Train_song) producer Espionage_(production_team),54
added,webnlg17_input,factual,results/ordering/factual_ordering.json,54,,54,recordLabel followedBy author publisher,author,2,[TRIPLE] Mermaid_(Train_song)  recordLabel  Sony_Music_Entertainment [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  writer  Amund_Bjørklund [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  writer  Stargate_(production_team) [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  followedBy  Imagine_(John_Lennon_song) [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  producer  Espionage_(production_team) [/TRIPLE],,,ordering,,54
added,webnlg17_input,factual,results/ordering/factual_ordering.json,54,,54,recordLabel followedBy author publisher,publisher,3,[TRIPLE] Mermaid_(Train_song)  recordLabel  Sony_Music_Entertainment [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  writer  Amund_Bjørklund [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  writer  Stargate_(production_team) [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  followedBy  Imagine_(John_Lennon_song) [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  producer  Espionage_(production_team) [/TRIPLE],,,ordering,,54
omitted,webnlg17_input,factual,results/ordering/factual_ordering.json,55,Year_of_No_Light,55,followedBy precededBy record releaseDate time,artist,,[TRIPLE] Nord_(Year_of_No_Light_album)  followedBy  Live_at_Roadburn_2008_(Year_of_No_Light_album) [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  artist  Year_of_No_Light [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  releaseDate  2006-09-06 [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  runtime  58.41 [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  precededBy  Demo_2004_(Year_of_No_Light_album) [/TRIPLE],1,Nord_(Year_of_No_Light_album),ordering,Nord_(Year_of_No_Light_album) artist Year_of_No_Light,55
omitted,webnlg17_input,factual,results/ordering/factual_ordering.json,55,58.41,55,followedBy precededBy record releaseDate time,runtime,,[TRIPLE] Nord_(Year_of_No_Light_album)  followedBy  Live_at_Roadburn_2008_(Year_of_No_Light_album) [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  artist  Year_of_No_Light [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  releaseDate  2006-09-06 [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  runtime  58.41 [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  precededBy  Demo_2004_(Year_of_No_Light_album) [/TRIPLE],3,Nord_(Year_of_No_Light_album),ordering,Nord_(Year_of_No_Light_album) runtime 58.41,55
