dataset,file,idx,input,num_input_triples,num_matched_triples,num_omitted_triples,num_predicted_predicates,omitted_predicates,omitted_triples,position,pred,task
counterfactual,results/ordering/counterfactual_ordering.json,52,[TRIPLE] José_Manuel_Durão_Barroso  deathPlace  Leningrad_USSR [/TRIPLE] [TRIPLE] José_Manuel_Durão_Barroso  birthDate  1994-06-14 [/TRIPLE] [TRIPLE] José_Manuel_Durão_Barroso  knownFor  Peano_existence_theorem [/TRIPLE] [TRIPLE] José_Manuel_Durão_Barroso  birthName  Anja_Huber [/TRIPLE],4,3,1,3,knownFor,José_Manuel_Durão_Barroso knownFor Peano_existence_theorem,52,birthName birthDate deathPlace,ordering
counterfactual,results/ordering/counterfactual_ordering.json,54,[TRIPLE] Mermaid_(Train_song)  recordLabel  Ariola_Eurodisc_GmbH [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  writer  alt-J [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  writer  Battlestar_Galactica [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  followedBy  Sverdlovsk_Film_Studio [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  producer  Espionage_(production_team) [/TRIPLE],5,2,3,4,writer | writer | producer,Mermaid_(Train_song) writer alt-J || Mermaid_(Train_song) writer Battlestar_Galactica || Mermaid_(Train_song) producer Espionage_(production_team),54,recordLabel followedBy creator author,ordering
counterfactual,results/ordering/counterfactual_ordering.json,55,[TRIPLE] Doire  followedBy  Acoustic_Samurai [/TRIPLE] [TRIPLE] Doire  artist  Culture_Club [/TRIPLE] [TRIPLE] Doire  releaseDate  1991-12-09 [/TRIPLE] [TRIPLE] Doire  runtime  108600000 [/TRIPLE] [TRIPLE] Doire  precededBy  Gossip_Girl [/TRIPLE],5,3,2,5,artist | runtime,Doire artist Culture_Club || Doire runtime 108600000,55,followedBy precededBy record releaseDate time,ordering
counterfactual,results/ordering/counterfactual_ordering.json,58,[TRIPLE] Cph_Deutschland  regionServed  Mexico [/TRIPLE] [TRIPLE] Cph_Deutschland  city  Westhaven-Moonstone [/TRIPLE] [TRIPLE] Cph_Deutschland  operatingIncome  260855000000.0 [/TRIPLE] [TRIPLE] Cph_Deutschland  industry  digital_economy [/TRIPLE] [TRIPLE] Cph_Deutschland  country  Mexico [/TRIPLE] [TRIPLE] Cph_Deutschland  netIncome  20378.5 [/TRIPLE],6,4,2,5,industry | netIncome,Cph_Deutschland industry digital_economy || Cph_Deutschland netIncome 20378.5,58,city country operatingIncome operatingIncome regionServed,ordering
counterfactual,results/ordering/counterfactual_ordering.json,65,[TRIPLE] (An_Imitation)_Blood_Orange  producer  Half_Japanese [/TRIPLE] [TRIPLE] (An_Imitation)_Blood_Orange  recordedIn  Mexico [/TRIPLE] [TRIPLE] (An_Imitation)_Blood_Orange  recordedIn  Ludwigshafen [/TRIPLE] [TRIPLE] (An_Imitation)_Blood_Orange  genre  Tswana_music [/TRIPLE],4,1,3,3,producer | recordedIn | recordedIn,(An_Imitation)_Blood_Orange producer Half_Japanese || (An_Imitation)_Blood_Orange recordedIn Mexico || (An_Imitation)_Blood_Orange recordedIn Ludwigshafen,65,genre recordIn recordIn,ordering
counterfactual,results/ordering/counterfactual_ordering.json,74,[TRIPLE] Blanche_of_Castile  professionalField  anthropology [/TRIPLE],1,0,1,1,professionalField,Blanche_of_Castile professionalField anthropology,74,profession,ordering
counterfactual,results/ordering/counterfactual_ordering.json,81,[TRIPLE] Tibre  releaseDate  1994-06-14 [/TRIPLE] [TRIPLE] Tibre  followedBy  Music_of_The_Lord_of_the_Rings_film_series [/TRIPLE] [TRIPLE] Tibre  genre  noh [/TRIPLE] [TRIPLE] Tibre  producer  Las_Ketchup [/TRIPLE] [TRIPLE] Tibre  artist  Las_Ketchup [/TRIPLE] [TRIPLE] Tibre  genre  old_classical_vocal_polyphony [/TRIPLE] [TRIPLE] Tibre  recordLabel  Flip_Records [/TRIPLE],7,4,3,4,producer | artist | genre,Tibre producer Las_Ketchup || Tibre artist Las_Ketchup || Tibre genre old_classical_vocal_polyphony,81,genre followedBy recordLabel releaseDate,ordering
counterfactual,results/ordering/counterfactual_ordering.json,88,[TRIPLE] Stakk_Attakk  artist  The_Strokes [/TRIPLE] [TRIPLE] Stakk_Attakk  producer  The_Strokes [/TRIPLE] [TRIPLE] Stakk_Attakk  runtime  250493000000.0 [/TRIPLE] [TRIPLE] Stakk_Attakk  recordedIn  Mexico [/TRIPLE] [TRIPLE] Stakk_Attakk  genre  minimal_electro [/TRIPLE],5,1,4,3,artist | producer | runtime | recordedIn,Stakk_Attakk artist The_Strokes || Stakk_Attakk producer The_Strokes || Stakk_Attakk runtime 250493000000.0 || Stakk_Attakk recordedIn Mexico,88,genre recordIn recordLength,ordering
counterfactual,results/ordering/counterfactual_ordering.json,94,[TRIPLE] Mermaid_(Train_song)  releaseDate  2006-09-06 [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  precededBy  School_of_Applied_Arts_in_Stuttgart [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  writer  Jarosław_Rodzewicz [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  runtime  21000 [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  writer  Systems_in_Blue [/TRIPLE],5,2,3,4,writer | runtime | writer,Mermaid_(Train_song) writer Jarosław_Rodzewicz || Mermaid_(Train_song) runtime 21000 || Mermaid_(Train_song) writer Systems_in_Blue,94,precededBy releaseDate timeruntime author,ordering
counterfactual,results/ordering/counterfactual_ordering.json,113,[TRIPLE] The_Twilight_Saga:_Breaking_Dawn_–_Part_2  director  Philip_the_Arab [/TRIPLE] [TRIPLE] Sandro_Pertini  deathYear  2000-01-01 [/TRIPLE] [TRIPLE] Philip_the_Arab  activeYearsStartYear  1989-01-01 [/TRIPLE] [TRIPLE] The_Twilight_Saga:_Breaking_Dawn_–_Part_2  writer  Kurt_Georg_Kiesinger [/TRIPLE] [TRIPLE] The_Twilight_Saga:_Breaking_Dawn_–_Part_2  writer  Sandro_Pertini [/TRIPLE],5,3,2,5,writer | writer,The_Twilight_Saga:_Breaking_Dawn_–_Part_2 writer Kurt_Georg_Kiesinger || The_Twilight_Saga:_Breaking_Dawn_–_Part_2 writer Sandro_Pertini,113,activeYearsStartYear director activeYearsEndYear author deathYear,ordering
counterfactual,results/ordering/counterfactual_ordering.json,117,[TRIPLE] SSAB  location  Turkey [/TRIPLE] [TRIPLE] SSAB  product  dopant [/TRIPLE] [TRIPLE] SSAB  industry  Pharmaceuticals [/TRIPLE] [TRIPLE] SSAB  keyPerson  urban_planner [/TRIPLE] [TRIPLE] SSAB  foundingDate  1892-01-03 [/TRIPLE] [TRIPLE] SSAB  type  S.A._(corporation) [/TRIPLE] [TRIPLE] SSAB  numberOfEmployees  418476000000.0 [/TRIPLE],7,5,2,5,industry | type,SSAB industry Pharmaceuticals || SSAB type S.A._(corporation),117,keyPerson location foundingDate numberOfEmployees product,ordering
counterfactual,results/ordering/counterfactual_ordering.json,121,[TRIPLE] Aliens_vs_Avatars  starring  Fernando_César_de_Souza [/TRIPLE] [TRIPLE] Aliens_vs_Avatars  writer  Luc_Van_den_Brande [/TRIPLE] [TRIPLE] Aliens_vs_Avatars  runtime  282838.0 [/TRIPLE],3,2,1,3,writer,Aliens_vs_Avatars writer Luc_Van_den_Brande,121,starring author runtime,ordering
counterfactual,results/ordering/counterfactual_ordering.json,122,[TRIPLE] Charisma  writer  Coco_Austin [/TRIPLE] [TRIPLE] Coco_Austin  deathDate  1944-07-28 [/TRIPLE] [TRIPLE] Charisma  director  Trygve_Braarud [/TRIPLE] [TRIPLE] Trygve_Braarud  birthYear  1898 [/TRIPLE],4,3,1,4,writer,Charisma writer Coco_Austin,122,birthYear director author deathDate,ordering
counterfactual,results/ordering/counterfactual_ordering.json,125,"[TRIPLE] Alexander_and_Baldwin  foundingDate  ""30_March_2007"" [/TRIPLE] [TRIPLE] Alexander_and_Baldwin  type  non-governmental_organization [/TRIPLE]",2,1,1,1,type,Alexander_and_Baldwin type non-governmental_organization,125,foundingDate,ordering
counterfactual,results/ordering/counterfactual_ordering.json,130,[TRIPLE] A_Nightingale_Sang_in_Berkeley_Square  director  Lyndon_B._Johnson [/TRIPLE] [TRIPLE] A_Nightingale_Sang_in_Berkeley_Square  writer  Lyndon_B._Johnson [/TRIPLE] [TRIPLE] A_Nightingale_Sang_in_Berkeley_Square  producer  This'll_Be_My_Year [/TRIPLE],3,1,2,2,writer | producer,A_Nightingale_Sang_in_Berkeley_Square writer Lyndon_B._Johnson || A_Nightingale_Sang_in_Berkeley_Square producer This'll_Be_My_Year,130,director creator,ordering
counterfactual,results/ordering/counterfactual_ordering.json,141,[TRIPLE] University_of_Rennes_2_–_Upper_Brittany  staff  1095.0 [/TRIPLE] [TRIPLE] University_of_Rennes_2_–_Upper_Brittany  numberOfDoctoralStudents  1512 [/TRIPLE] [TRIPLE] University_of_Rennes_2_–_Upper_Brittany  campus  Labruyère [/TRIPLE] [TRIPLE] University_of_Rennes_2_–_Upper_Brittany  numberOfStudents  2900 [/TRIPLE] [TRIPLE] University_of_Rennes_2_–_Upper_Brittany  numberOfPostgraduateStudents  1604.0 [/TRIPLE],5,4,1,4,staff,University_of_Rennes_2_–_Upper_Brittany staff 1095.0,141,campus numberOfStudents numberOfPostgraduateStudents numberOfDoctoralStudents,ordering
counterfactual,results/ordering/counterfactual_ordering.json,145,[TRIPLE] Charles_Darwin  deathPlace  Michigan [/TRIPLE] [TRIPLE] Charles_Darwin  birthPlace  California [/TRIPLE] [TRIPLE] Charles_Darwin  mission  STS-41 [/TRIPLE],3,2,1,2,mission,Charles_Darwin mission STS-41,145,birthPlace deathPlace,ordering
counterfactual,results/ordering/counterfactual_ordering.json,148,[TRIPLE] Taro  releaseDate  1908-05-02 [/TRIPLE] [TRIPLE] Taro  followedBy  534 [/TRIPLE] [TRIPLE] Taro  genre  contemporary_vocal_music [/TRIPLE] [TRIPLE] Taro  producer  La_Coka_Nostra [/TRIPLE] [TRIPLE] Taro  genre  ensalada [/TRIPLE],5,3,2,3,producer | genre,Taro producer La_Coka_Nostra || Taro genre ensalada,148,genre followedBy releaseDate,ordering
counterfactual,results/ordering/counterfactual_ordering.json,150,"[TRIPLE] Deux-Nèthes  releaseDate  ""1923-11-18"" [/TRIPLE] [TRIPLE] Deux-Nèthes  followedBy  Codes_and_Keys [/TRIPLE] [TRIPLE] Deux-Nèthes  genre  tropipop [/TRIPLE] [TRIPLE] Deux-Nèthes  producer  The_Desert_Sessions [/TRIPLE] [TRIPLE] Deux-Nèthes  artist  The_Desert_Sessions [/TRIPLE]",5,3,2,3,producer | artist,Deux-Nèthes producer The_Desert_Sessions || Deux-Nèthes artist The_Desert_Sessions,150,genre followedBy releaseDate,ordering
counterfactual,results/ordering/counterfactual_ordering.json,151,[TRIPLE] Bouches-de-l'Escaut  followedBy  Auch [/TRIPLE] [TRIPLE] Bouches-de-l'Escaut  producer  Primal_Fear [/TRIPLE] [TRIPLE] Bouches-de-l'Escaut  artist  Primal_Fear [/TRIPLE] [TRIPLE] Bouches-de-l'Escaut  recordLabel  RSO_Records [/TRIPLE],4,2,2,3,producer | artist,Bouches-de-l'Escaut producer Primal_Fear || Bouches-de-l'Escaut artist Primal_Fear,151,followedBy recordLabel creator,ordering
counterfactual,results/ordering/counterfactual_ordering.json,159,[TRIPLE] The_Haunted_Castle  releaseDate  1908-05-02 [/TRIPLE] [TRIPLE] The_Haunted_Castle  writer  Lewis_Hamilton [/TRIPLE] [TRIPLE] The_Haunted_Castle  runtime  230.05 [/TRIPLE] [TRIPLE] The_Haunted_Castle  editing  Ptolemy_VIII_Physcon [/TRIPLE] [TRIPLE] The_Haunted_Castle  musicComposer  Ingemar_Stenmark [/TRIPLE],5,2,3,4,writer | runtime | editing,The_Haunted_Castle writer Lewis_Hamilton || The_Haunted_Castle runtime 230.05 || The_Haunted_Castle editing Ptolemy_VIII_Physcon,159,musicComposer editor releaseDate author,ordering
counterfactual,results/ordering/counterfactual_ordering.json,167,[TRIPLE] I_Want_to_Marry_Ryan_Banks  director  Alberto_Tomba [/TRIPLE] [TRIPLE] I_Want_to_Marry_Ryan_Banks  producer  Alberto_Tomba [/TRIPLE] [TRIPLE] I_Want_to_Marry_Ryan_Banks  producer  María_Silva_Cruz [/TRIPLE] [TRIPLE] I_Want_to_Marry_Ryan_Banks  director  María_Silva_Cruz [/TRIPLE] [TRIPLE] I_Want_to_Marry_Ryan_Banks  runtime  27400 [/TRIPLE],5,3,2,5,producer | runtime,I_Want_to_Marry_Ryan_Banks producer María_Silva_Cruz || I_Want_to_Marry_Ryan_Banks runtime 27400,167,director director producer production time,ordering
counterfactual,results/ordering/counterfactual_ordering.json,171,[TRIPLE] Saturday_Night_Fever  releaseDate  1913-01-01 [/TRIPLE] [TRIPLE] Saturday_Night_Fever  director  Antonio_Segni [/TRIPLE] [TRIPLE] Saturday_Night_Fever  editing  Rolf_Turkka [/TRIPLE] [TRIPLE] Saturday_Night_Fever  producer  Abel_Kirui [/TRIPLE],4,1,3,4,releaseDate | editing | producer,Saturday_Night_Fever releaseDate 1913-01-01 || Saturday_Night_Fever editing Rolf_Turkka || Saturday_Night_Fever producer Abel_Kirui,171,director editor production date,ordering
counterfactual,results/ordering/counterfactual_ordering.json,176,[TRIPLE] Aguiar_da_Beira  country  Turkey [/TRIPLE] [TRIPLE] Turkey  areaTotal  1095.0 [/TRIPLE] [TRIPLE] Aguiar_da_Beira  isPartOf  Jalisco [/TRIPLE] [TRIPLE] Jalisco  type  Compilation_Album [/TRIPLE],4,3,1,3,type,Jalisco type Compilation_Album,176,isPartOf country areaTotal,ordering
counterfactual,results/ordering/counterfactual_ordering.json,181,[TRIPLE] Die_Nacht_der_Seele  producer  Sonic_Syndicate [/TRIPLE] [TRIPLE] Die_Nacht_der_Seele  runtime  387.63 [/TRIPLE] [TRIPLE] Die_Nacht_der_Seele  recordedIn  Mexico [/TRIPLE],3,0,3,3,producer | runtime | recordedIn,Die_Nacht_der_Seele producer Sonic_Syndicate || Die_Nacht_der_Seele runtime 387.63 || Die_Nacht_der_Seele recordedIn Mexico,181,recordIn production time,ordering
counterfactual,results/ordering/counterfactual_ordering.json,183,[TRIPLE] The_Girl_from_Nowhere  writer  Juliana_Hatfield [/TRIPLE] [TRIPLE] Juliana_Hatfield  birthYear  1765 [/TRIPLE] [TRIPLE] The_Girl_from_Nowhere  starring  Juhani_Ruotsalainen [/TRIPLE] [TRIPLE] The_Girl_from_Nowhere  starring  Albert_of_Aix [/TRIPLE],4,3,1,4,writer,The_Girl_from_Nowhere writer Juliana_Hatfield,183,birthYear author starring starring,ordering
counterfactual,results/ordering/counterfactual_ordering.json,185,[TRIPLE] Collision_Course  producer  Rudimental [/TRIPLE],1,0,1,1,producer,Collision_Course producer Rudimental,185,creator,ordering
counterfactual,results/ordering/counterfactual_ordering.json,189,[TRIPLE] David_Bellion  deathPlace  Mexico [/TRIPLE] [TRIPLE] Cancun  meaning  andminus;7 [/TRIPLE] [TRIPLE] Mexico  longName  Israel [/TRIPLE] [TRIPLE] David_Bellion  deathPlace  Cancun [/TRIPLE],4,3,1,3,meaning,Cancun meaning andminus;7,189,deathPlace deathPlace longName,ordering
counterfactual,results/ordering/counterfactual_ordering.json,190,[TRIPLE] Xu_Guang  birthPlace  Karlsruhe [/TRIPLE] [TRIPLE] Xu_Guang  birthDate  1937-04-27 [/TRIPLE] [TRIPLE] Xu_Guang  deathDate  2001-10-16 [/TRIPLE] [TRIPLE] Xu_Guang  deathPlace  Mexico [/TRIPLE] [TRIPLE] Xu_Guang  nationality  Mexico [/TRIPLE] [TRIPLE] Xu_Guang  professionalField  kit_manager [/TRIPLE],6,5,1,5,professionalField,Xu_Guang professionalField kit_manager,190,birthPlace birthDate deathPlace nationality deathDate,ordering
counterfactual,results/ordering/counterfactual_ordering.json,197,[TRIPLE] The_Afterman:_Descension  starring  Renaud_Lavillenie [/TRIPLE] [TRIPLE] The_Afterman:_Descension  cinematography  José_Joaquín_Pérez [/TRIPLE] [TRIPLE] The_Afterman:_Descension  runtime  108600000 [/TRIPLE] [TRIPLE] The_Afterman:_Descension  gross  89.0 [/TRIPLE] [TRIPLE] The_Afterman:_Descension  starring  Pupienus [/TRIPLE],5,4,1,5,gross,The_Afterman:_Descension gross 89.0,197,starring starring runtime grosses cinematography,ordering
counterfactual,results/ordering/counterfactual_ordering.json,204,[TRIPLE] Howl  writer  Charles_Baudelaire [/TRIPLE],1,0,1,1,writer,Howl writer Charles_Baudelaire,204,author,ordering
counterfactual,results/ordering/counterfactual_ordering.json,206,[TRIPLE] Mack_Wilberg  residence  California [/TRIPLE] [TRIPLE] California  areaOfWater  30955.0 [/TRIPLE] [TRIPLE] Mack_Wilberg  residence  Philippines [/TRIPLE] [TRIPLE] Mack_Wilberg  citizenship  Philippines [/TRIPLE] [TRIPLE] Philippines  motto  Liberté_égalité_fraternité [/TRIPLE],5,4,1,4,citizenship,Mack_Wilberg citizenship Philippines,206,residence residence areaOfWater motto,ordering
counterfactual,results/ordering/counterfactual_ordering.json,209,[TRIPLE] Jean-Philippe_Rameau  birthPlace  Karlsruhe [/TRIPLE] [TRIPLE] Jean-Philippe_Rameau  birthDate  1911-01-01 [/TRIPLE] [TRIPLE] Jean-Philippe_Rameau  deathDate  2006-09-06 [/TRIPLE] [TRIPLE] Jean-Philippe_Rameau  deathPlace  United_States [/TRIPLE] [TRIPLE] Jean-Philippe_Rameau  birthPlace  Indo-Scythians [/TRIPLE],5,4,1,4,birthPlace,Jean-Philippe_Rameau birthPlace Indo-Scythians,209,birthPlace birthDate deathPlace deathDate,ordering
counterfactual,results/ordering/counterfactual_ordering.json,211,[TRIPLE] Moving_Violation  recordedIn  Mexico [/TRIPLE] [TRIPLE] Mexico  language  eng [/TRIPLE] [TRIPLE] Moving_Violation  recordedIn  Kampala [/TRIPLE],3,2,1,2,recordedIn,Moving_Violation recordedIn Kampala,211,language recordedIn,ordering
