added_predicates,comparison_basis,dataset,file,idx,num_added_triples,num_matched_predicates,num_matched_source_triples,num_omitted_triples,num_predicted_predicates,num_source_triples,omitted_predicates,omitted_triples,position,pred,source_input,task,triple_set_id
,webnlg17_input,factual,results/ordering/factual_ordering.json,17,0,3,3,0,3,3,,,17,genre precededBy precededBy,[TRIPLE] Bootleg_Series_Volume_1:_The_Quine_Tapes  genre  Rock_music [/TRIPLE] [TRIPLE] Bootleg_Series_Volume_1:_The_Quine_Tapes  precededBy  Squeeze_(The_Velvet_Underground_album) [/TRIPLE] [TRIPLE] Squeeze_(The_Velvet_Underground_album)  precededBy  Andy_Warhol's_Velvet_Underground_Featuring_Nico [/TRIPLE],ordering,17
,webnlg17_input,factual,results/ordering/factual_ordering.json,18,0,4,4,0,4,4,,,18,campus country director affiliation,"[TRIPLE] Acharya_Institute_of_Technology  campus  ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090."" [/TRIPLE] [TRIPLE] Acharya_Institute_of_Technology  director  ""Dr. G. P. Prabhukumar"" [/TRIPLE] [TRIPLE] Acharya_Institute_of_Technology  affiliation  Visvesvaraya_Technological_University [/TRIPLE] [TRIPLE] Acharya_Institute_of_Technology  country  ""India"" [/TRIPLE]",ordering,18
,webnlg17_input,factual,results/ordering/factual_ordering.json,19,0,3,3,0,3,3,,,19,birthPlace deathPlace ethnicGroup,[TRIPLE] Abraham_A._Ribicoff  deathPlace  United_States [/TRIPLE] [TRIPLE] Abraham_A._Ribicoff  birthPlace  United_States [/TRIPLE] [TRIPLE] United_States  ethnicGroup  African_Americans [/TRIPLE],ordering,19
recordIn | location,webnlg17_input,factual,results/ordering/factual_ordering.json,20,2,2,2,5,4,7,artist | producer | runtime | recordedIn | recordedIn,"Bootleg_Series_Volume_1:_The_Quine_Tapes artist The_Velvet_Underground || Bootleg_Series_Volume_1:_The_Quine_Tapes producer The_Velvet_Underground || Bootleg_Series_Volume_1:_The_Quine_Tapes runtime 230.05 || Bootleg_Series_Volume_1:_The_Quine_Tapes recordedIn United_States || Bootleg_Series_Volume_1:_The_Quine_Tapes recordedIn St._Louis,_Missouri",20,genre recordLabel recordIn location,"[TRIPLE] Bootleg_Series_Volume_1:_The_Quine_Tapes  artist  The_Velvet_Underground [/TRIPLE] [TRIPLE] Bootleg_Series_Volume_1:_The_Quine_Tapes  producer  The_Velvet_Underground [/TRIPLE] [TRIPLE] Bootleg_Series_Volume_1:_The_Quine_Tapes  runtime  230.05 [/TRIPLE] [TRIPLE] Bootleg_Series_Volume_1:_The_Quine_Tapes  recordedIn  United_States [/TRIPLE] [TRIPLE] Bootleg_Series_Volume_1:_The_Quine_Tapes  recordedIn  St._Louis,_Missouri [/TRIPLE] [TRIPLE] Bootleg_Series_Volume_1:_The_Quine_Tapes  genre  Rock_music [/TRIPLE] [TRIPLE] Bootleg_Series_Volume_1:_The_Quine_Tapes  recordLabel  Polydor_Records [/TRIPLE]",ordering,20
,webnlg17_input,factual,results/ordering/factual_ordering.json,21,0,2,2,0,2,2,,,21,publisher literaryGenre,[TRIPLE] The_Fellowship_of_the_Ring  publisher  George_Allen_&_Unwin [/TRIPLE] [TRIPLE] The_Fellowship_of_the_Ring  literaryGenre  Fantasy_(genre) [/TRIPLE],ordering,21
,webnlg17_input,factual,results/ordering/factual_ordering.json,22,0,3,3,0,3,3,,,22,birthPlace award deathPlace,[TRIPLE] Alan_Shepard  deathPlace  California [/TRIPLE] [TRIPLE] Alan_Shepard  birthPlace  New_Hampshire [/TRIPLE] [TRIPLE] Alan_Shepard  award  Distinguished_Service_Medal_(United_States_Navy) [/TRIPLE],ordering,22
production_team,webnlg17_input,factual,results/ordering/factual_ordering.json,23,1,2,2,1,3,3,producer,Mermaid_(Train_song) producer Espionage_(production_team),23,followedBy album production_team,[TRIPLE] Mermaid_(Train_song)  followedBy  Imagine_(John_Lennon_song) [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  producer  Espionage_(production_team) [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  album  California_37_(Train_album) [/TRIPLE],ordering,23
,webnlg17_input,factual,results/ordering/factual_ordering.json,24,0,5,5,0,5,5,,,24,author publisher literaryGenre releaseDate followedBy,[TRIPLE] The_Fellowship_of_the_Ring  publisher  George_Allen_&_Unwin [/TRIPLE] [TRIPLE] The_Fellowship_of_the_Ring  literaryGenre  Fantasy_(genre) [/TRIPLE] [TRIPLE] The_Fellowship_of_the_Ring  followedBy  The_Two_Towers [/TRIPLE] [TRIPLE] The_Fellowship_of_the_Ring  author  J._R._R._Tolkien [/TRIPLE] [TRIPLE] The_Fellowship_of_the_Ring  releaseDate  1954-07-29 [/TRIPLE],ordering,24
,webnlg17_input,factual,results/ordering/factual_ordering.json,25,0,2,2,0,2,2,,,25,location industry,[TRIPLE] GMA_New_Media  location  Philippines [/TRIPLE] [TRIPLE] GMA_New_Media  industry  Entertainment [/TRIPLE],ordering,25
author,webnlg17_input,factual,results/ordering/factual_ordering.json,26,1,2,2,1,3,3,writer,English_Without_Tears writer Terence_Rattigan,26,author runtime cinematography,[TRIPLE] English_Without_Tears  cinematography  Bernard_Knowles [/TRIPLE] [TRIPLE] English_Without_Tears  writer  Terence_Rattigan [/TRIPLE] [TRIPLE] English_Without_Tears  runtime  89.0 [/TRIPLE],ordering,26
,webnlg17_input,factual,results/ordering/factual_ordering.json,27,0,2,2,1,2,3,professionalField,Lady_Anne_Monson professionalField Botany,27,spouse deathDate,[TRIPLE] Lady_Anne_Monson  spouse  George_Monson [/TRIPLE] [TRIPLE] Lady_Anne_Monson  deathDate  1776-02-18 [/TRIPLE] [TRIPLE] Lady_Anne_Monson  professionalField  Botany [/TRIPLE],ordering,27
,webnlg17_input,factual,results/ordering/factual_ordering.json,28,0,2,2,0,2,2,,,28,residence party,"[TRIPLE] Abdul_Taib_Mahmud  residence  ""Demak Jaya, Jalan Bako, Kuching, Sarawak"" [/TRIPLE] [TRIPLE] Abdul_Taib_Mahmud  party  Parti_Pesaka_Bumiputera_Bersatu [/TRIPLE]",ordering,28
,webnlg17_input,factual,results/ordering/factual_ordering.json,29,0,4,4,1,4,5,training,Liselotte_Grschebina training School_of_Applied_Arts_in_Stuttgart,29,nationality birthPlace country language,[TRIPLE] Liselotte_Grschebina  birthPlace  Karlsruhe [/TRIPLE] [TRIPLE] Liselotte_Grschebina  nationality  Israel [/TRIPLE] [TRIPLE] Liselotte_Grschebina  training  School_of_Applied_Arts_in_Stuttgart [/TRIPLE] [TRIPLE] Karlsruhe  country  Germany [/TRIPLE] [TRIPLE] Israel  language  Modern_Hebrew [/TRIPLE],ordering,29
,webnlg17_input,factual,results/ordering/factual_ordering.json,30,0,1,1,0,1,1,,,30,location,[TRIPLE] Chinabank  location  Philippines [/TRIPLE],ordering,30
author,webnlg17_input,factual,results/ordering/factual_ordering.json,31,1,4,4,2,5,6,writer | writer,Mermaid_(Train_song) writer Espen_Lind || Mermaid_(Train_song) writer Amund_Bjørklund,31,genre recordLabel recordLabel runtime author,[TRIPLE] Mermaid_(Train_song)  recordLabel  Columbia_Records [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  runtime  3.16 [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  recordLabel  Sony_Music_Entertainment [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  writer  Espen_Lind [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  genre  Reggae [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  writer  Amund_Bjørklund [/TRIPLE],ordering,31
author,webnlg17_input,factual,results/ordering/factual_ordering.json,32,1,2,2,1,3,3,writer,It's_Great_to_Be_Young_(1956_film) writer Ted_Willis,32,starring musicComposer author,[TRIPLE] It's_Great_to_Be_Young_(1956_film)  musicComposer  Louis_Levy [/TRIPLE] [TRIPLE] It's_Great_to_Be_Young_(1956_film)  starring  Cecil_Parker [/TRIPLE] [TRIPLE] It's_Great_to_Be_Young_(1956_film)  writer  Ted_Willis [/TRIPLE],ordering,32
,webnlg17_input,factual,results/ordering/factual_ordering.json,33,0,5,5,0,5,5,,,33,origin activeYearsStartYear instrument genre associatedBand/associatedMusicalArtist,[TRIPLE] Aaron_Turner  genre  Post-metal [/TRIPLE] [TRIPLE] Aaron_Turner  associatedBand/associatedMusicalArtist  Lotus_Eaters_(band) [/TRIPLE] [TRIPLE] Aaron_Turner  origin  Massachusetts [/TRIPLE] [TRIPLE] Aaron_Turner  instrument  Electric_guitar [/TRIPLE] [TRIPLE] Aaron_Turner  activeYearsStartYear  1995 [/TRIPLE],ordering,33
,webnlg17_input,factual,results/ordering/factual_ordering.json,34,0,5,5,0,5,5,,,34,established location category hasToItsSoutheast hasToItsWest,"[TRIPLE] Adams_County,_Pennsylvania  hasToItsWest  Franklin_County,_Pennsylvania [/TRIPLE] [TRIPLE] 11th_Mississippi_Infantry_Monument  established  2000 [/TRIPLE] [TRIPLE] 11th_Mississippi_Infantry_Monument  location  Adams_County,_Pennsylvania [/TRIPLE] [TRIPLE] Adams_County,_Pennsylvania  hasToItsSoutheast  Carroll_County,_Maryland [/TRIPLE] [TRIPLE] 11th_Mississippi_Infantry_Monument  category  Contributing_property [/TRIPLE]",ordering,34
,webnlg17_input,factual,results/ordering/factual_ordering.json,35,0,4,4,1,4,5,producer,Nord_(Year_of_No_Light_album) producer Year_of_No_Light,35,genre genre recordLabel releaseDate,[TRIPLE] Nord_(Year_of_No_Light_album)  genre  Sludge_metal [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  producer  Year_of_No_Light [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  genre  Post-metal [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  recordLabel  Crucial_Blast [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  releaseDate  2006-09-06 [/TRIPLE],ordering,35
,webnlg17_input,factual,results/ordering/factual_ordering.json,36,0,5,5,1,5,6,type,Ciudad_Ayala type City,36,leaderTitle governmentType populationDensity populationMetro utcOffset,"[TRIPLE] Ciudad_Ayala  populationMetro  1777539 [/TRIPLE] [TRIPLE] Ciudad_Ayala  leaderTitle  ""City Manager"" [/TRIPLE] [TRIPLE] Ciudad_Ayala  type  City [/TRIPLE] [TRIPLE] Ciudad_Ayala  populationDensity  1604.0 [/TRIPLE] [TRIPLE] Ciudad_Ayala  governmentType  Council-manager_government [/TRIPLE] [TRIPLE] Ciudad_Ayala  utcOffset  −6 [/TRIPLE]",ordering,36
time,webnlg17_input,factual,results/ordering/factual_ordering.json,37,1,4,4,2,5,6,writer | runtime,Super_Capers writer Ray_Griggs_(director) || Super_Capers runtime 98.0,37,starring starring budget director time,[TRIPLE] Super_Capers  starring  Michael_Rooker [/TRIPLE] [TRIPLE] Super_Capers  starring  Tom_Sizemore [/TRIPLE] [TRIPLE] Super_Capers  budget  2000000.0 [/TRIPLE] [TRIPLE] Super_Capers  writer  Ray_Griggs_(director) [/TRIPLE] [TRIPLE] Super_Capers  director  Ray_Griggs_(director) [/TRIPLE] [TRIPLE] Super_Capers  runtime  98.0 [/TRIPLE],ordering,37
,webnlg17_input,factual,results/ordering/factual_ordering.json,38,0,1,1,0,1,1,,,38,influencedBy,[TRIPLE] Darinka_Dentcheva  influencedBy  Andrzej_Piotr_Ruszczyński [/TRIPLE],ordering,38
author,webnlg17_input,factual,results/ordering/factual_ordering.json,39,1,1,1,1,2,2,writer,McVeagh_of_the_South_Seas writer Harry_Carey_(actor_born_1878),39,starring author,[TRIPLE] McVeagh_of_the_South_Seas  starring  Harry_Carey_(actor_born_1878) [/TRIPLE] [TRIPLE] McVeagh_of_the_South_Seas  writer  Harry_Carey_(actor_born_1878) [/TRIPLE],ordering,39
mainIngredients,webnlg17_input,factual,results/ordering/factual_ordering.json,40,1,6,6,1,7,7,mainIngredient,"Bionico mainIngredient ""Chopped Fruits, Sour Cream, Condensed Milk, Granola, Shredded Coconut, Raisins""",40,dishVariation course region country mainIngredients currency demonym,"[TRIPLE] Mexico  currency  Mexican_peso [/TRIPLE] [TRIPLE] Mexico  demonym  Mexicans [/TRIPLE] [TRIPLE] Bionico  course  Dessert [/TRIPLE] [TRIPLE] Bionico  region  Guadalajara [/TRIPLE] [TRIPLE] Dessert  dishVariation  Cookie [/TRIPLE] [TRIPLE] Bionico  mainIngredient  ""Chopped Fruits, Sour Cream, Condensed Milk, Granola, Shredded Coconut, Raisins"" [/TRIPLE] [TRIPLE] Bionico  country  Mexico [/TRIPLE]",ordering,40
city,webnlg17_input,factual,results/ordering/factual_ordering.json,41,1,2,2,1,3,3,type,Ciudad_Ayala type City,41,leaderTitle city populationDensity,"[TRIPLE] Ciudad_Ayala  leaderTitle  ""City Manager"" [/TRIPLE] [TRIPLE] Ciudad_Ayala  type  City [/TRIPLE] [TRIPLE] Ciudad_Ayala  populationDensity  1604.0 [/TRIPLE]",ordering,41
,webnlg17_input,factual,results/ordering/factual_ordering.json,42,0,4,4,1,4,5,city,ENAIRE city Madrid,42,location country operatingOrganisation runwayLength,[TRIPLE] Adolfo_Suárez_Madrid–Barajas_Airport  operatingOrganisation  ENAIRE [/TRIPLE] [TRIPLE] Adolfo_Suárez_Madrid–Barajas_Airport  location  Alcobendas [/TRIPLE] [TRIPLE] ENAIRE  city  Madrid [/TRIPLE] [TRIPLE] Adolfo_Suárez_Madrid–Barajas_Airport  runwayLength  3500.0 [/TRIPLE] [TRIPLE] Madrid  country  Spain [/TRIPLE],ordering,42
,webnlg17_input,factual,results/ordering/factual_ordering.json,43,0,4,4,0,4,4,,,43,course ingredient country currency,[TRIPLE] Mexico  currency  Mexican_peso [/TRIPLE] [TRIPLE] Bionico  course  Dessert [/TRIPLE] [TRIPLE] Bionico  ingredient  Granola [/TRIPLE] [TRIPLE] Bionico  country  Mexico [/TRIPLE],ordering,43
,webnlg17_input,factual,results/ordering/factual_ordering.json,44,0,2,2,0,2,2,,,44,periapsis epoch,[TRIPLE] 1147_Stavropolis  periapsis  260855000000.0 [/TRIPLE] [TRIPLE] 1147_Stavropolis  epoch  31 July 2016 (JD2457600.5) [/TRIPLE],ordering,44
,webnlg17_input,factual,results/ordering/factual_ordering.json,45,0,2,2,0,2,2,,,45,populationDensity timeZone,[TRIPLE] Ciudad_Ayala  timeZone  Pacific_Daylight_Time [/TRIPLE] [TRIPLE] Ciudad_Ayala  populationDensity  1604.0 [/TRIPLE],ordering,45
,webnlg17_input,factual,results/ordering/factual_ordering.json,46,0,2,2,0,2,2,,,46,numberOfEmployees netIncome,[TRIPLE] Chinabank  numberOfEmployees  5594 [/TRIPLE] [TRIPLE] Chinabank  netIncome  15100000000 [/TRIPLE],ordering,46
,webnlg17_input,factual,results/ordering/factual_ordering.json,47,0,3,3,0,3,3,,,47,broadcastedBy lastAired creator,"[TRIPLE] Bananaman  creator  Steve_Bright [/TRIPLE] [TRIPLE] Bananaman  lastAired  ""1986-04-15"" [/TRIPLE] [TRIPLE] Bananaman  broadcastedBy  BBC [/TRIPLE]",ordering,47
,webnlg17_input,factual,results/ordering/factual_ordering.json,48,0,5,5,0,5,5,,,48,course region country demonym currency,[TRIPLE] Mexico  currency  Mexican_peso [/TRIPLE] [TRIPLE] Mexico  demonym  Mexicans [/TRIPLE] [TRIPLE] Bionico  course  Dessert [/TRIPLE] [TRIPLE] Bionico  region  Guadalajara [/TRIPLE] [TRIPLE] Bionico  country  Mexico [/TRIPLE],ordering,48
,webnlg17_input,factual,results/ordering/factual_ordering.json,49,0,1,1,1,1,2,artist,Nord_(Year_of_No_Light_album) artist Year_of_No_Light,49,followedBy,[TRIPLE] Nord_(Year_of_No_Light_album)  followedBy  Live_at_Roadburn_2008_(Year_of_No_Light_album) [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  artist  Year_of_No_Light [/TRIPLE],ordering,49
,webnlg17_input,factual,results/ordering/factual_ordering.json,50,0,3,3,1,3,4,mission,Alan_Shepard mission Apollo_14,50,birthPlace birthDate deathPlace,"[TRIPLE] Alan_Shepard  birthDate  ""1923-11-18"" [/TRIPLE] [TRIPLE] Alan_Shepard  deathPlace  California [/TRIPLE] [TRIPLE] Alan_Shepard  birthPlace  New_Hampshire [/TRIPLE] [TRIPLE] Alan_Shepard  mission  Apollo_14 [/TRIPLE]",ordering,50
,webnlg17_input,factual,results/ordering/factual_ordering.json,51,0,3,3,0,3,3,,,51,cylinderCount engine length,[TRIPLE] ALCO_RS-3  engine  Four-stroke_engine [/TRIPLE] [TRIPLE] ALCO_RS-3  cylinderCount  12 [/TRIPLE] [TRIPLE] ALCO_RS-3  length  17068.8 (millimetres) [/TRIPLE],ordering,51
,webnlg17_input,factual,results/ordering/factual_ordering.json,52,0,3,3,1,3,4,knownFor,Olga_Bondareva knownFor Bondareva–Shapley_theorem,52,birthName birthDate deathPlace,"[TRIPLE] Olga_Bondareva  deathPlace  Saint_Petersburg [/TRIPLE] [TRIPLE] Olga_Bondareva  birthDate  1937-04-27 [/TRIPLE] [TRIPLE] Olga_Bondareva  knownFor  Bondareva–Shapley_theorem [/TRIPLE] [TRIPLE] Olga_Bondareva  birthName  ""Olga Nikolaevna Bondareva"" [/TRIPLE]",ordering,52
,webnlg17_input,factual,results/ordering/factual_ordering.json,53,0,4,4,0,4,4,,,53,author precededBy literaryGenre releaseDate,[TRIPLE] The_Fellowship_of_the_Ring  literaryGenre  Fantasy_(genre) [/TRIPLE] [TRIPLE] The_Fellowship_of_the_Ring  author  J._R._R._Tolkien [/TRIPLE] [TRIPLE] The_Fellowship_of_the_Ring  releaseDate  1954-07-29 [/TRIPLE] [TRIPLE] The_Fellowship_of_the_Ring  precededBy  The_Hobbit [/TRIPLE],ordering,53
author | publisher,webnlg17_input,factual,results/ordering/factual_ordering.json,54,2,2,2,3,4,5,writer | writer | producer,Mermaid_(Train_song) writer Amund_Bjørklund || Mermaid_(Train_song) writer Stargate_(production_team) || Mermaid_(Train_song) producer Espionage_(production_team),54,recordLabel followedBy author publisher,[TRIPLE] Mermaid_(Train_song)  recordLabel  Sony_Music_Entertainment [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  writer  Amund_Bjørklund [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  writer  Stargate_(production_team) [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  followedBy  Imagine_(John_Lennon_song) [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  producer  Espionage_(production_team) [/TRIPLE],ordering,54
record | time,webnlg17_input,factual,results/ordering/factual_ordering.json,55,2,3,3,2,5,5,artist | runtime,Nord_(Year_of_No_Light_album) artist Year_of_No_Light || Nord_(Year_of_No_Light_album) runtime 58.41,55,followedBy precededBy record releaseDate time,[TRIPLE] Nord_(Year_of_No_Light_album)  followedBy  Live_at_Roadburn_2008_(Year_of_No_Light_album) [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  artist  Year_of_No_Light [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  releaseDate  2006-09-06 [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  runtime  58.41 [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  precededBy  Demo_2004_(Year_of_No_Light_album) [/TRIPLE],ordering,55
,webnlg17_input,factual,results/ordering/factual_ordering.json,56,0,5,5,0,5,5,,,56,municipality location country category hasToItsSoutheast,"[TRIPLE] 11th_Mississippi_Infantry_Monument  location  Adams_County,_Pennsylvania [/TRIPLE] [TRIPLE] 11th_Mississippi_Infantry_Monument  municipality  Gettysburg,_Pennsylvania [/TRIPLE] [TRIPLE] Adams_County,_Pennsylvania  hasToItsSoutheast  Carroll_County,_Maryland [/TRIPLE] [TRIPLE] 11th_Mississippi_Infantry_Monument  category  Contributing_property [/TRIPLE] [TRIPLE] 11th_Mississippi_Infantry_Monument  country  ""United States"" [/TRIPLE]",ordering,56
,webnlg17_input,factual,results/ordering/factual_ordering.json,57,0,4,4,0,4,4,,,57,birthPlace nationality deathPlace deathDate,[TRIPLE] Liselotte_Grschebina  deathDate  1994-06-14 [/TRIPLE] [TRIPLE] Liselotte_Grschebina  deathPlace  Israel [/TRIPLE] [TRIPLE] Liselotte_Grschebina  nationality  Israel [/TRIPLE] [TRIPLE] Liselotte_Grschebina  birthPlace  German_Empire [/TRIPLE],ordering,57
operatingIncome,webnlg17_input,factual,results/ordering/factual_ordering.json,58,1,3,3,3,4,6,regionServed | industry | netIncome,AmeriGas regionServed United_States || AmeriGas industry Energy_industry || AmeriGas netIncome 211200000,58,city country operatingIncome operatingIncome,"[TRIPLE] AmeriGas  regionServed  United_States [/TRIPLE] [TRIPLE] AmeriGas  city  King_of_Prussia,_Pennsylvania [/TRIPLE] [TRIPLE] AmeriGas  operatingIncome  380700000 [/TRIPLE] [TRIPLE] AmeriGas  industry  Energy_industry [/TRIPLE] [TRIPLE] AmeriGas  country  United_States [/TRIPLE] [TRIPLE] AmeriGas  netIncome  211200000 [/TRIPLE]",ordering,58
