Source,Translation
"The album ""BootlegSeriesVolume1:TheQuineTapes"" falls under the genre of rock music. It is preceded by ""Squeeze (The Velvet Underground album)"" which in turn is preceded by ""Andy Warhol's Velvet Underground Featuring Nico."" Therefore, ""BootlegSeriesVolume1:TheQuineTapes"" is the successor of ""Squeeze (The Velvet Underground album)"" and was released after it, with ""Andy Warhol's Velvet Underground Featuring Nico"" being an even earlier release in the series.","ينتمي ألبوم ""Bootleg Series Volume 1: The Quine Tapes"" إلى نوع موسيقى الروك. يسبقه ""Squeeze (ألبوم فيلفيت أندرغراوند)"" الذي يسبقه بدوره ""أندي وارهول فيلفيت أندرغراوند فيتنج نيكو"". وبالتالي، فإن ""Bootleg Series Volume 1: The Quine Tapes"" هو الخلف لـ ""Squeeze (ألبوم فيلفيت أندرغراوند)"" وقد صدر بعده، مع كون ""أندي وارهول فيلفيت أندرغراوند فيتنج نيكو"" إصدارًا سابقًا حتى في السلسلة."
"The Acharya Institute of Technology is located on Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, in the area of Soldevanahalli, Bangalore, India - 560090. Its director is Dr. G. P. Prabhukumar. The institute is affiliated with Visvesvaraya Technological University.",.يقع معهد أشيريا للتكنولوجيا في شارع أشيريا الدكتور سارفابالي راداكريشنان، الطريق الرئيسي هيسارجاتا، في منطقة سولدفانهالي، بنغالور، الهند - 560090. ومديره هو الدكتور جي. بي. برابهوكومار. والمعهد تابع لجامعة فيسفيشوارايا التكنولوجية
"Abraham A. Ribicoff was born and died in the United States. The United States is the birthplace and death place of Abraham A. Ribicoff. The United States is home to the African American ethnic group. Therefore, Abraham A. Ribicoff was an American of African American descent.",ولد أبراهام أ. ريبيكوف وتوفي في الولايات المتحدة. الولايات المتحدة هي مسقط رأس ومكان وفاة أبراهام أ. ريبيكوف. الولايات المتحدة هي موطن المجموعة العرقية الأمريكية الأفريقية. وبالتالي، كان أبراهام أ. ريبيكوف أمريكيًا من أصل أفريقي.
"The album ""BootlegSeriesVolume1:TheQuineTapes"" is by The Velvet Underground. They both produced and performed in this rock music album, which was recorded in the United States, specifically in . Louis, Missouri. The runtime of the album is approximately 230.05 minutes. The record label for this release is Polydor Records.",".الألبوم ""BootlegSeriesVolume1: TheQuineTapes"" من إنتاج فرقة The Velvet Underground. قامت الفرقة بإنتاج هذا الألبوم الموسيقي الصخري وأدائه، والذي تم تسجيله في الولايات المتحدة، وتحديدا في لويز، ميزوري. تبلغ مدة تشغيل الألبوم حوالي 230.05 دقيقة. شركة التسجيلات لهذا الإصدار هي بوليدور ريكوردز"
"The ""The Fellowship of the Ring"" is a work of literature published by George Allen & Unwin, and it belongs to the fantasy genre.",". ""رفقة الخاتم"" هو عمل أدبي نشره جورج ألين وأنوين، وهو ينتمي إلى نوع الفانتازيا"
Alan Shepard was born in New Hampshire and died in California. He was awarded the Distinguished Service Medal (United States Navy).,ولد آلان شيبرد في نيو هامبشاير وتوفي في كاليفورنيا. وقد حصل على ميدالية الخدمة المتميزة (البحرية الأمريكية).
"The song ""Mermaid"" by Train is followed by ""Imagine"" by John Lennon in the sequence of a playlist or performance. The production of ""Mermaid"" was handled by the Espionage production team. This song is featured in the album ""California 37"" by Train.",".يتبع أغنية ""ميرميد"" لفرقة ""ترين"" أغنية ""إيماجين"" لجون لينون في تتابع قائمة تشغيل أو أداء. تولى فريق إنتاج ""إسبيوناج"" إنتاج أغنية ""ميرميد"". وتظهر هذه الأغنية في ألبوم ""كاليفورنيا 37"" لفرقة ""ترين""."
"""J.R.R. Tolkien's 'The Fellowship of the Ring', published by George Allen & Unwin in 1954, is a work of fantasy literature. It is the first book in The Lord of the Rings series and is followed by 'The Two Towers'.""",". ""زمالة الخاتم"" للكاتب ج. ر. ر. تولكين، التي نشرتها جورج ألين وأونوين عام 1954، هي عمل أدبي خيالي. إنه الكتاب الأول في سلسلة ""سيد الخواتم"" وتتبعه ""البرجان"""
GMA New Media is based in the Philippines and operates in the Entertainment industry.,تقع GMA New Media في الفلبين وتعمل في صناعة الترفيه.
"The British film ""English Without Tears"" was written by Terence Rattigan and featured cinematography by Bernard Knowles. Its runtime is 89 minutes long.",".تم كتابة الفيلم البريطاني ""الإنجليزية بدون دموع"" بواسطة تيرينس راتيجان، وقام بتصويره برنارد Knowles. تبلغ مدة عرض الفيلم 89 دقيقة"
"Lady Anne Monson was a botanist who married George Monson in an undated marriage. She passed away on February 18, 1776.",كانت ليدي آن مونسون عالمة نباتات تزوجت من جورج مونسون في زواج غير مؤرخ. وتوفيت في 18 فبراير 1776.
"Abdul Taib Mahmud resides in Demak Jaya, Jalan Bako, Kuching, Sarawak, and is a political figure affiliated with Parti Pesaka Bumiputera Bersatu.",يقيم عبد الطيب محمود في دماك جايا، جالان باكو، كوتشينج، سراوق، وهو شخصية سياسية تابعة لحزب بيساكا بوميبوترا المتحد.
"Liselotte Grschebina was born in Karlsruhe, Germany. She holds Israeli nationality and received her training at the School of Applied Arts in Stuttgart. Her nationality is Israeli, and she comes from the city of Karlsruhe, which is located in Germany. The language spoken in her native country, Israel, is Modern Hebrew.",.ولدت ليسلوت جريشيبينا في كارلسروه بألمانيا. تحمل الجنسية الإسرائيلية، وتلقت تدريبها في مدرسة الفنون التطبيقية في شتوتجارت. تحمل الجنسية الإسرائيلية، وهي من مدينة كارلسروه، الواقعة في ألمانيا. واللغة المنطوقة في وطنها الأم، إسرائيل، هي العبرية الحديثة
Chinabank is located in the Philippines.,.يقع تشاينا بنك في الفلبين
"The song ""Mermaid"" by Train, also known as ""Mermaid (Train song)"", has been recorded under two different record labels - first Columbia Records and later Sony Music Entertainment. The song has a runtime of 3.16 minutes and its writers are Espen Lind and Amund Bjørklund. The genre of this song is Reggae.",".سجلت أغنية ""حورية البحر"" لفرقة ""ترين""، والمعروفة أيضًا باسم ""حورية البحر (أغنية ترين)""، تحت علامتي تسجيل مختلفتين - أولاً كولومبيا ريكوردز، ثم سوني ميوزيك إنترتينمنت. تبلغ مدة الأغنية 3.16 دقيقة، وكاتباها هما إسبن ليند وأمونذ بيوركلوند. نوع هذه الأغنية هو الريغي"
"The 1956 film ""It's Great to Be Young"" was composed by Louis Levy, starred Cecil Parker, and was written by Ted Willis.",".فيلم ""رائع أن تكون شابا"" لعام 1956 من تأليف لويس ليفي، وبطولة سيسيل باركر، ومن تأليف تيد ويليس"
"Aaron Turner is a musician from Massachusetts, active since 1995, primarily playing the electric guitar in the post-metal band Lotus Eaters.",.آرون تيرنر هو موسيقي من ماساتشوستس، نشط منذ عام 1995، ويعزف في المقام الأول الجيتار الكهربائي في فرقة ما بعد الميتال لوتس إيترز
"The 11th Mississippi Infantry Monument was established in the year 2000 and is located in Adams County, Pennsylvania. To the west of Adams County is Franklin County, Pennsylvania, and to its southeast lies Carroll County, Maryland. The monument is categorized as a contributing property.",.أقيم نصب مشاة ميسيسيبي الحادي عشر التذكاري في عام 2000 ويقع في مقاطعة آدمز، بنسلفانيا. إلى الغرب من مقاطعة آدمز تقع مقاطعة فرانكلين، بنسلفانيا، وإلى الجنوب الشرقي منها تقع مقاطعة كارول، ميريلاند. ويصنف النصب على أنه مُلكية مساهمة
"The album ""Year of No Light"" by Nord, released on September 6, 2006, is produced by Year of No Light and belongs to both the Sludge metal and Post-metal genres. It is published under the record label Crucial Blast.",".ألبوم ""عام بلا ضوء"" لفرقة نورد، الذي صدر في 6 سبتمبر 2006، من إنتاج ""يير أوف نو لايت"" وهو ينتمي إلى نوعي موسيقى سلاج ميتال وبست-ميتال. وقد تم نشره تحت اسم شركة التسجيلات ""كروشال بلاست""."
"The city of CiudadAyala has a population of 1,777,539 residents and a population density of 1,604 people per square kilometer. It is classified as a city and operates under a council-manager government. The city manager is the leader of the city. CiudadAyala is located in a time zone with a UTC offset of -6 hours.",.تبلغ مساحة مدينة سيوداد أياالا 1777539 نسمة، وكثافة سكانية تبلغ 1604 نسمة لكل كيلومتر مربع. وهي مصنفة كمدينة وتعمل في إطار حكومة مجلس الإدارة. ومدير المدينة هو زعيم المدينة. تقع سيوداد أياالا في منطقة زمنية يبلغ فرق توقيتاها الموحد -6 ساعات
"The movie ""SuperCapers"" features actors MichaelRooker and TomSizemore in its cast. The production budget for this film was 2 million dollars. RayGriggs(director) was both the writer and director of ""SuperCapers"". The runtime for the movie is 98 minutes.",".يضم فيلم ""سوبركابيرز"" الممثلين مايكل روكر وتوم سيزمور، وبلغت ميزانية إنتاج الفيلم مليوني دولار. وكان راي غريغز (مخرج) كاتب ومخرج الفيلم. تبلغ مدة الفيلم 98 دقيقة"
Andrzej Piotr Ruszczynski had an influence on Darinka Dentcheva.,كان لأندريه بيتر روجنسكي تأثير على دارينكا دانتشيفا.
"Harry Carey (born in 1878) both starred in and wrote the film ""McVeagh of the South Seas.""",".هارري كاري (مواليد 1878) قام ببطولة وكتابة فيلم ""ماكفيه جنوب البحار"""
"Mexico is a country with Mexicans as its citizens. Its currency is the Mexican peso. In the city of Guadalajara, located in Mexico, a popular dessert called Bionico is served. This dessert consists of chopped fruits, sour cream, condensed milk, granola, shredded coconut, and raisins as its main ingredients. The dessert variation of Bionico is a cookie.","المكسيك هي دولة مواطنوها مكسيكيون. عملتها هي البيزو المكسيكي. وفي مدينة غوادالاخارا، الواقعة في المكسيك، تقدم حلوى شهيرة تسمى ""بيونيكو"". تتكون هذه الحلوى بشكل رئيسي من الفواكه المقطعة والقشدة الحامضة والحليب المكثف والجرانولا وجوز الهند المبشور والزبيب. ويعد البسكويت أحد أشكال حلوى البيونيكو."
"City Manager is the title of the leader of the city of CiudadAyala, which is a city with a population density of 1604 people per square kilometer.",.المدير التنفيذي هو لقب زعيم مدينة سيوداد أيايا، وهي مدينة يبلغ عدد سكانها 1604 شخصًا لكل كيلومتر مربع
"Adolfo Suárez Madrid-Barajas Airport, located in Alcobendas, is operated by ENAIRE, which is headquartered in Madrid, Spain. The airport features a runway with a length of 3500.0 meters.",يقع مطار أدولفو سواريز، مدريد-باراخاس في الكوبنداس، وتديره شركة إناير التي يقع مقرها الرئيسي في مدريد، إسبانيا. ويضم المطار مدرجًا يبلغ طوله 3500.0 مترًا.
"Mexico is a country where the currency is the Mexican peso. In Mexico, Bionico is a brand that produces a dessert course. One of the ingredients used in Bionico's desserts is granola.",.المكسيك هي دولة عملتها البيزو المكسيكي. في المكسيك، بيونيكو هي علامة تجارية تنتج حلوى. أحد المكونات المستخدمة في حلويات بيونيكو هو الجرانولا
"The object with the label ""1147Stavropolis"" has a periapsis, which is a distance of 260,855,000,000.0 meters, and its epoch is marked as July 31, 2016 (Julian Day 2457600.5).",".يملك الجسم الذي يحمل التسمية ""1147Stavropolis"" نقطة حضيض تبلغ مسافتها 260,855,000,000.0 متر، ويُشار إلى حقبته في 31 يوليو 2016 (اليوم اليولياني 2457600.5)"
The city of CiudadAyala is located in the Pacific Daylight Time zone and has a population density of 1604 people per square kilometer.,.تقع مدينة سيوداد أيالا في منطقة توقيت المحيط الهادئ ويبلغ كثافة سكانها 1604 شخص لكل كيلومتر مربع
Chinabank employs a total of 5594 staff members and reported a net income of 15.1 billion dollars.,.يعمل في بنك الصين ما مجموعه 5594 موظفًا، وبلغ صافي دخله 15.1 مليار دولار
"Bananaman, a character created by Steve Bright, was first broadcasted on the BBC on April 15, 1986.",.بنانامان، شخصية ابتكرها ستيف برايت، تم بثها لأول مرة على قناة بي بي سي في 15 أبريل 1986
"Mexico is a country with Mexicans as its citizens. Its currency is the Mexicanpeso. Guadalajara is a region in Mexico where Bionico, a dessert course, is produced.",.المكسيك هي دولة مواطنوها مكسيكيون. عملتها هي البيزو المكسيكي. جوادالاخارا هي منطقة في المكسيك حيث يتم إنتاج البيونيكو، وهو طبق حلو
"The album ""Year of No Light"" by Year of No Light was first released, followed by a live version of the same album titled ""Live at Roadburn 2008.""",".أول ألبوم لفرقة ""يير أوف نو لايت"" الذي يحمل نفس الاسم، صدرت منه نسخة حية بعنوان ""لايف أت رودبورن 2008"""
"Alan Shepard was born on November 18, 1923, in New Hampshire. He passed away in California. Notable for his achievements in space exploration, Shepard is best known for his mission on Apollo 14.",.ولد آلان شيبرد في 18 نوفمبر 1923 في نيو هامبشاير. توفي في كاليفورنيا. وهو معروف بإنجازاته في مجال استكشاف الفضاء، ويشتهر بمهمته على متن أبولو 14
The ALCORS-3 engine is a Four-stroke engine with a cylinder count of 12 and a length of 17068.8 millimetres.,محرك ALCORS-3 هو محرك رباعي الأشواط يحتوي على 12 أسطوانة وطوله 17068.8 ملم.
"Olga Bondareva, born on April 27, 1937, is known for her contribution to mathematics, specifically for the discovery of the Bondareva-Shapley theorem. She passed away in Saint Petersburg. (Born: April 27, 1937 // Nationality: Russian // Known for: Bondareva-Shapley theorem // Death: Saint Petersburg)",.أولغا بونداريفا، المولودة في 27 أبريل 1937، معروفة بمساهماتها في الرياضيات، وتحديداً لاكتشافها مبرهنة بونداريفا-شابلي. توفيت في سانت بطرسبرغ (تاريخ الميلاد: 27 أبريل 1937 // الجنسية: روسية // معروف عن: مبرهنة بونداريفا-شابلي // الوفاة: سانت بطرسبرغ)
"""J.R.R. Tolkien's 'The Fellowship of the Ring' is a fantasy novel, first published on July 29, 1954. It is the second book in Tolkien's 'The Lord of the Rings' series, preceded by 'The Hobbit'.""",". ""زمالة الخاتم"" للكاتب ج. ر. ر. تولكين هي رواية فانتازيا، نُشرت لأول مرة في 29 يوليو 1954. وهي الكتاب الثاني في سلسلة تولكين ""سيد الخواتم""، التي سبقتها رواية ""الهوبيت"""
"The song ""Mermaid"" by Train, also known as ""Mermaid (Train song)"", is recorded under the label Sony Music Entertainment. Its writers are Amund Bjørklund and Stargate (production team). The production was handled by Espionage (production team), and the song is followed by ""Imagine"" by John Lennon.",".أغنية ""حورية البحر"" لفرقة ""ترين""، والمعروفة أيضًا باسم ""حورية البحر (أغنية ترين)""، مسجلة تحت اسم شركة سوني ميوزيك للترفيه. كتبها أموند بيوركلوند وستار جيت (فريق الإنتاج). تولى الإنتاج فريق إسبيوناج (فريق الإنتاج)، وتليها أغنية ""تخيل"" لجون لينون"
"Year of No Light, the album by the band Nord, was first released in 2006 on September 6th. It has a runtime of 58.41 minutes and was preceded by a demo in 2004. The album consists of two parts: the original release and a live performance at Roadburn 2008.",".ألبوم ""يير أوف نو لايت"" لفرقة نورد، صدر لأول مرة في عام 2006 في 6 سبتمبر. تبلغ مدته 58.41 دقيقة، وقد سبقه إصدار تجريبي في عام 2004. ويتكون الألبوم من جزأين: الإصدار الأصلي وعرض حي في رودبورن 2008"
"The 11th Mississippi Infantry Monument is located in Gettysburg, Pennsylvania, in Adams County. It is situated in the southeastern part of Adams County, bordering Carroll County, Maryland. This contributing property is a monument dedicated to the 11th Mississippi Infantry Regiment and is located in the United States.",.يقع نصب مشاة ميسيسيبي الحادي عشر التذكاري في جيتيسبيرغ، بنسلفانيا، في مقاطعة آدمز. ويقع في الجزء الجنوبي الشرقي من مقاطعة آدمز، على حدود مقاطعة كارول، ميريلاند. هذا العقار المساهم هو نصب تذكاري مخصص لفوج مشاة ميسيسيبي الحادي عشر ويقع في الولايات المتحدة
Liselotte Grschebina was born in the German Empire but later died in Israel in 1994.,.ولدت ليسلوت جريشيبينا في الإمبراطورية الألمانية ولكنها توفيت لاحقًا في إسرائيل عام 1994
"AmeriGas is a company based in the United States, specifically in the city of King of Prussia, Pennsylvania, in the energy industry. The company serves the US market and reported an operating income of $380.7 million and a net income of $211.2 million.",.أميريجاز هي شركة مقرها في الولايات المتحدة، وتحديدًا في مدينة كينج أوف بروسيا، بنسلفانيا، في صناعة الطاقة. تخدم الشركة السوق الأمريكية وأبلغت عن دخل تشغيلي قدره 380.7 مليون دولار ودخل صاف قدره 211.2 مليون دولار
"The asteroid 1147Stavropolis, discovered by Grigory Neujmin on June 11, 1929, has an orbital period of 1249.6 units and an apoapsis of 41,847,600,000 units.",".اكتشف غريغوري نويمين الكويكب 1147 ستافروبول، في 11 يونيو 1929، ولديه فترة مدارية تبلغ 1249.6 وحدة وحضيض يبلغ 41,847,600,000 وحدة"
"The Mexican city of CiudadAyala has a utcOffset of -6, making it six hours behind Coordinated Universal Time. The city's leader holds the title of Governator. CiudadAyala is located in Mexico and has an elevation above sea level of 1147.0 meters.",.المدينة المكسيكية سيوداد أيايلا لديها منطقة زمنية تبلغ -6، مما يجعلها متأخرة بست ساعات عن التوقيت العالمي المنسق. ويحمل زعيم المدينة لقب الحاكم. تقع سيوداد أيايلا في المكسيك وعلى ارتفاع 1147.0 متر فوق مستوى سطح البحر
The city of Ciudad Ayala is located in the Mexican state of Morelos and has a UTC offset of negative 6 hours.,تقع مدينة سيوداد أيايلا في ولاية موريلوس المكسيكية، ولها فرق توقيت سالب 6 ساعات عن التوقيت العالمي المنسق.
Lady Anne Monson is married to George Monson.,آن مونسون سيدة متزوجة من جورج مونسون.
"Agremiação Sportiva Arapiraquense is a Brazilian football club with approximately 17,000 members that participates in Campeonato Brasileiro Série C. In the past, Vila Nova Futebol Clube has won the championship title in this league.",.نادي أغريمياساو سبورتيفا أرايبيراكوينسي هو نادي كرة قدم برازيلي يضم حوالي 17000 عضو ويشارك في الدوري البرازيلي الدرجة الثالثة. وفي الماضي، فاز نادي فيلا نوفا لكرة القدم بلقب البطولة في هذه الدوري
"Bionico is a course, specifically a dessert, that originates from Jalisco, a region in Mexico.",.البيونيكو هو طبق، وتحديدًا حلوى، نشأ في خاليسكو، وهي منطقة في المكسيك
"The album ""BootlegSeriesVolume1:TheQuineTapes"" was produced by The Velvet Underground and recorded in both the United States and . Louis, Missouri. Its genre is identified as Rockmusic.",".أنتج ألبوم ""بووتليغ سيريز فولوم 1: ذا كوين تيبس"" فرقة فيلفيت أندرغراوند، وتم تسجيله في كل من الولايات المتحدة وسانت لويس، ميزوري. ويصنف نوع الموسيقى الخاص به على أنه موسيقى الروك"
"Gdynia, a city located in Poland, observes a UTC offset of +2 hours.",.تُعد مدينة غدينيا، الواقعة في بولندا، مدينة تتبع منطقة زمنية تُعادل توقيت وسط أوروبا زائد ساعتين
"The album ""Year of No Light"" by the artist ""Year of No Light"" is associated with the band ""Monarch"".","يرتبط ألبوم ""عام بلا ضوء"" للفنان ""عام بلا ضوء"" بفرقة ""مونارك""."
"Nie Haisheng was born in Zaoyang, which is part of Hubei province. He completed a mission on Shenzhou 6.",ولد ني هايشينج في زاویانج، التي تعد جزءًا من مقاطعة هوبي. وقد أكمل مهمة على متن شنتشو 6.
"AleksandrPrudnikov is a football player with a height of 185.0 centimetres, who plays for FCSpartakMoscow. FCSpartakMoscow's home ground is OtkrytiyeArena.",.ألكسندر برودنيكوف هو لاعب كرة قدم يبلغ ارتفاعه 185.0 سم، ويلعب مع نادي سبارتاك موسكو الذي يقع ملعبه الرئيسي، أوتكريتيي أرينا، في موسكو، روسيا
"The Pontiac Rageous underwent assembly in both Michigan and Detroit, with production ending in the year 1997.",تم تجميع سيارة بونتياك راجوس في كل من ميشيغان ودترويت، حيث انتهى إنتاجها في عام 1997.
The area of Detroit is approximately 370.03 square units.,تبلغ مساحة ديترويت حوالي 370.03 وحدة مربعة.
"The film ""English Without Tears,"" composed by Nicholas Brodszky, was released on July 28, 1944, and directed by Harold French. Its runtime is 89 minutes.",".أُصدر فيلم ""الإنجليزية بدون دموع"" الذي ألفه نيكولاس برودسكي في 28 يوليو 1944، من إخراج هارولد فرينش. تبلغ مدة الفيلم 89 دقيقة"
The GMA New Media is located at the GMA Network Center.,تقع جي إم إيه نيو ميديا في مركز جي إم إيه نتوورك
Olga Bondareva is a professional in the field of Economics.,أولغا بونداريفا هي أخصائية في مجال الاقتصاد.
"The composer of the piece ""English Without Tears"" is Nicholas Brodszky.",".مؤلف القطعة الموسيقية ""الإنجليزية بدون دموع"" هو نيكولاس برودسكي"
"Bananaman, a television series created by Steve Bright, first aired on BBC in 1986-04-15. Bill Oddie starred in the show. The broadcasting of Bananaman was handled by the BBC, specifically at their Broadcasting House location.",".بنانامان، وهو مسلسل تلفزيوني من إعداد ستيف برايت، تم بثه لأول مرة على قناة بي بي سي في 15 أبريل 1986. قام ببطولته بيل أودي. وتولت هيئة الإذاعة البريطانية (بي بي سي) بث مسلسل بنانامان، وتحديداً في موقعهم المعروف باسم ""بيت الإذاعة"""
Montreal Locomotive Works built ALCORS-3 locomotives between May 1950 and August 1956.,بنى مصنع مونتريال للجرارات قاطرات ALCORS-3 بين مايو 1950 وأغسطس 1956.
"Agremiação Sportiva Arapiraquense is a Brazilian football club participating in Campeonato Brasileiro Série C, with a membership of approximately 17,000. Vila Nova Futebol Clube is the current champion of the same league.",.نادي أغريمياساو سبورتيفا أرايبيراكوينسي هو نادي كرة قدم برازيلي يشارك في الدوري البرازيلي الدرجة الثالثة، ويبلغ عدد أعضائه حوالي 17000 عضو. نادي فيلا نوفا لكرة القدم هو البطل الحالي لنفس الدوري.
"The 1956 film ""It's Great to Be Young"" features the acting of Cecil Parker.",".يتميز فيلم ""رائع أن تكون شابا"" لعام 1956 بتمثيل سيسيل باركر"
"Ray Griggs directed the film ""Super Capers.""",".أخرج راي غريغز فيلم ""سوبر كابرس"""
"In September 2006, the Sludge and Post-metal band Year of No Light released their album ""Year of No Light"" under their own production, with the record label Crucial Blast. The album was followed by a live performance at Roadburn 2008.","في سبتمبر 2006، أصدرت فرقة سلاوج وميتال ""يير أوف نو لايت"" ألبومها الذي يحمل نفس الاسم ""يير أوف نو لايت"" من إنتاجها الخاص، بالتعاون مع شركة ""كروشال بلاست"" للتسجيلات. وأعقب الألبوم عرض حي في مهرجان رودبورن عام 2008."
"The song ""Mermaid"" by Train is followed by ""Imagine"" by John Lennon. ""Imagine"" is certified by the Federation of the Italian Music Industry (FIMI). The production team Espionage was responsible for producing ""Mermaid,"" while John Lennon is the musical artist behind ""Imagine.""","يتبع أغنية ""حورية البحر"" لفرقة ""ترين"" أغنية ""تخيل"" لجون لينون. حصلت أغنية ""تخيل"" على شهادة من اتحاد صناعة الموسيقى الإيطالية (FIMI). وكان فريق الإنتاج ""إسبيوناج"" مسؤولاً عن إنتاج أغنية ""حورية البحر""، في حين أن الفنان الموسيقي خلف أغنية ""تخيل"" هو جون لينون."
"Adolfo Suárez Madrid-Barajas Airport is operated by ENAIRE and features a 3500-meter runway with a name of ""14L/32R"" and an elevation of 610 meters above sea level.",".يتم تشغيل مطار أدولفو سواريز، مدريد-باراخاس بواسطة شركة إناير ويضم مدرجًا يبلغ طوله 3500 مترًا باسم ""14L/32R"" وارتفاع 610 مترًا فوق مستوى سطح البحر"
"The genre of ""ExpectaMiracle"" is Easylistening.",". ينتمي ألبوم ""إكسبكتا ميراكل"" إلى فئة الموسيقى السهلة الاستماع"
Liselotte Grschebina is an Arab citizen of Israel. She is a national of Israel.,ليزلوت جريشبينا مواطنة عربية إسرائيلية. وهي من رعايا إسرائيل.
"The album ""Squeeze"" by The Velvet Underground was followed by ""1969: The Velvet Underground Live"" in their discography.",".تبع ألبوم ""سكويز"" لفرقة فيلفيت أندرغراوند ألبوم ""1969: فيلفيت أندرغراوند لايف"" في قائمة أعمالهم الموسيقية"
AlanB.MillerHall was completed by the College of William & Mary in the year 2009.,.تم الانتهاء من بناء آلان بي. ميلر هول من قبل كلية وليام آند ماري في عام 2009
