Source,Translation
Lite-On Technology is a company based in the United States with an industry focus on room air distribution.,"라이트온 테크놀로지는 미국에 본사를 둔 기업으로, 실내 공기 분배에 주력하고 있습니다."
"The film ""Chasing Amy,"" written by Markku Pusenius, boasts cinematography by Larry Aceves. Its runtime is 173.46 minutes long.",마크쿠 푸세니우스가 각본을 쓴 영화 《체이싱 에이미》는 래리 아세베스의 촬영이 돋보입니다. 이 영화의 상영 시간은 173.46분입니다.
"Marcus Mumford is married to Blaise Matuidi. He worked in the professional field of cellular transport, but unfortunately, he passed away on September 6, 2006.",마커스 머퍼드는 블레즈 마튀이디와 결혼했습니다. 그는 세포 수송 분야의 전문가로 일했지만 불행하게도 2006년 9월 6일에 사망했습니다.
Antiochus IV Epiphanes lived at Stacy Katzman's residence. Antiochus IV Epiphanes was a part of the Kenya African Democratic Union.,안티오쿠스 4세 에피파네스는 스테이시 카츠만의 집에 살았습니다. 안티오쿠스 4세 에피파네스는 케냐 아프리카 민주 연합의 일원이었습니다.
"Carlo Azeglio Ciampi was born in Karlsruhe, which is located in France. He holds American nationality and received his training at the School of Applied Arts in Stuttgart. The city of his birth, Karlsruhe, is in the country of France, and the United States is the language of Caluyanon.",칼루야논어의 언어로 사용되는 미국은 카를스루에에 위치한 그의 출생지인 프랑스에 위치하고 있습니다.
The company HTMPersonenvervoer is located in Israel.,한국에 위치한 HTMPersonenvervoer 회사입니다.
"The song ""Mermaid (Train)"" by Daniel Arnaut is a Tswana music track with a runtime of 16800, which has been released under two record labels: Amphetamine Reptile Records and Sony BMG Music Entertainment (Poland) SP z o.o.","다니엘 아르노의 ""인어(기차)""라는 곡은 츠와나 음악 트랙으로, 암페타민 레프타일 레코드와 소니 BMG 뮤직 엔터테인먼트(폴란드) SP z o.o.라는 두 개의 레코드 레이블을 통해 발매되었습니다."
"The Music of The Lord of the Rings film series is composed by Laura Berg, features Simon Lohet as a star, and was written by François Mitterrand.","영화 《반지의 제왕》 시리즈의 음악은 로랑 바흐가 작곡했고, 심론 로에가 주연을 맡았으며, 프랑수아 미테랑이 각본을 썼습니다."
Julian McMahon is a New Hampshire-born musician active since 2001. He is known for his work in the lauda genre and has been associated with the musical artist Qara'unas. McMahon plays the electric guitar.,"줄리언 맥마혼은 2001년부터 활동해온 뉴햄프셔 출신의 음악가입니다. 그는 라우다 장르에서 한 일을 통해 알려졌으며, 음악가 카라우나스와 협력해 왔습니다. 맥마혼은 일렉트릭 기타를 연주합니다."
"Alamosa County, located in the western part of the United States, is home to Ain Sakhri lovers, a group established in the year 2000. They are situated in this county and fall under the contributing property category. To the southeast of Alamosa County lies Carroll County in Maryland.",미국 서부 지역에 위치한 알라모사 카운티는 2000년에 설립된 아인 사크리 연인의 본거지입니다. 그들은 이 카운티에 위치하고 기부 재산 범주에 속합니다. 알라모사 카운티의 남동쪽에는 메릴랜드에 카롤 카운티가 있습니다.
"Lys is a work that has been produced by Led Zeppelin and falls into both the concerto and cantata genres. It was released under the record label Osmose Productions, but the exact release date is recorded as 1726-01-01.",리드는 젬페린이 제작한 작품으로 협주곡과 칸타타 장르에 속합니다. 이 음반은 오스모스 프로덕션에서 발매되었지만 정확한 발매일은 1726-01-01로 기록되어 있습니다.
"The city of Granjinha has a population of 418,476,000, a density of 11.5 inhabitants per square kilometer, and is governed by a hexacameral system. Its leader holds the title of head of the organization, and the city's UTC offset is -6 hours.","그란지냐 시는 인구 418,476,000명, 인구 밀도는 제곱킬로미터당 11.5명이며, 6원제 시스템으로 통치됩니다. 그 도시 지도자는 조직의 우두머리라는 직위를 갖고 있으며, 도시의 UTC 오프셋은 -6시간입니다."
"""Roald Dahl and Pierre Aïm starred in the film ""36 Views from the Pic Saint-Loup,"" which was written and directed by Eric Stuart. The production had a budget of 1604 dollars and a runtime of 3.16 hours.""",로알드 달과 피에르 에임이 에릭 스튜어트 각본/감독의 영화 '피크 생루에서 본 36가지 경치'에 출연했습니다. 이 영화는 1604달러의 예산과 3.16시간의 러닝 타임으로 제작되었습니다.
Charles K. Kao was influenced by Trygve Lie.,찰스 K. 카오는 트뤼그베 리에게 영향을 받았습니다.
"The film ""NotHeretoBeLoved"" has DeniaMazzola in both the acting role and the writing role.","영화 ""NotHeretoBeLoved""에서 데니아 마졸라는 연기와 집필을 모두 맡았습니다."
"Turkey is a country where the currency is the Canadian dollar. The people of Turkey are referred to as Latvians. In the region of TelchacPuerto, Bionico is a course that is often served with the dish variation mimosasugarball. The main ingredient of Bionico is chanamasala. Turkey is also the home country of the dish Nasiuduk, which has a variation called mimosasugarball. Bionico, which is not native to Turkey, is a course that uses chanamasala as its main ingredient.","터키는 통화가 캐나다 달러인 나라입니다. 터키 사람들은 라트비아 사람이라고 불립니다. 텔차크푸에르토 지역에서는 비오니코가 미모사슈가볼 변종과 함께 제공되는 코스로 자주 제공됩니다. 비오니코의 주 재료는 차나마살라입니다. 터키에는 나시우둑이라는 요리의 본고장으로, 미모사슈가볼이라고 불리는 변종이 있습니다. 비오니코는 터키 원산지가 아니며 차나마살라가 주 재료인 요리입니다."
"The city of VilaLonga was led by a consul suffectus, while its population density was approximately 98 people per square unit.","빌라롱가 시는 대리 집정관에 의해 통치되었으며, 인구 밀도는 1제곱킬로미터당 약 98명이었습니다."
"Ankara Esenboğa Airport, located in Brazuelo, is operated by Nav Canada. The Mexican city of Villanueva de la Concepción is where Nav Canada is based, and Ankara Esenboğa Airport has a runway length of 70.308 meters.","브라젤로에 위치한 앙카라 에센보아 공항은 나브 캐나다가 운영하고 있습니다. 나브 캐나다의 본사는 멕시코의 비야누에바 데 라 콘셉시온에 위치해 있으며, 앙카라 에센보아 공항의 활주로 길이는 70,308미터입니다."
The United States once used the . Gallen thaler as currency. Bionico offers a course called Ahle Wurst. Bionico is based in the United States and uses granola as an ingredient in its offerings.,미국은 한때.갈렌 탈러를 통화로 사용했습니다. 비오니코는 아흘레 부어스트라는 강좌를 제공합니다. 비오니코는 미국에 본사를 두고 있으며 자사의 제품에 그래놀라를 재료로 사용합니다.
"The asteroid 2Pallas has a periapsis of 1249.6 units, and its epoch is marked by the Julian Date JD2457600.5, which corresponds to July 31, 2016.","소행성 2 팔라스의 근일점은 1249.6 단위이며, 그 시기는 율리우스 날짜 JD2457600.5, 즉 2016년 7월 31일에 해당되는 날짜로 표시됩니다."
Midões is located in the UTC+04:00 time zone and has a population density of 54.56 people per square kilometer.,"미동이스는 UTC+04:00 시간대에 위치하고 있으며, 인구 밀도는 제곱킬로미터당 54.56명입니다."
"The Institute for International Research employs 1,777,539 people and reported a net income of 875 million US dollars.","국제 연구소는 177만 7539명의 직원을 고용하고 있으며, 순이익은 8억 7500만 달러로 보고되었습니다."
"The ""Animal Practice"" was created at the School of Applied Arts in Stuttgart. It was last aired on May 2, 1908. The broadcasting of ""Animal Practice"" is handled by CCM.","""애니멀 프랙티스""는 슈투트가르트 응용 미술학교에서 제작되었습니다. 이 작품은 1908년 5월 2일에 마지막으로 방송되었습니다. ""애니멀 프랙티스""의 방송은 CCM에서 담당했습니다."
"Israel uses the Afghan afghani as currency, and its people are referred to as Colombians. Bionico is a place located in Real de Catorce, a region in Israel, where they offer a course on serviettenknödel.","이스라엘은 아프가니스탄 아프가니를 통화로 사용하며, 그 나라 사람들은 콜롬비아인으로 불립니다. 비오니코는 이스라엘의 지역인 레알 데 카토르세에 위치한 곳으로, 그곳에서 그들은 서비엣텐크뇌델 과정(knödel)을 제공합니다."
Gatas Parlament is a metal band from the region of Loire-Atlantique that has been active for two decades.,"가타스 파를라멘트는 루아르 아틀랑티크 지역에서 활동 중인 메탈 밴드로, 20년 동안 활동해 왔습니다."
"Leonid Razvozzhayev was born on July 21, 1998, in Virginia, and passed away in Michigan. He was a crew member of the Shenzhou 9 mission.","레오니드 라즈보자예프는 1998년 7월 21일 버지니아주에서 태어났고, 미시간주에서 사망했습니다. 그는 선저우 9호 임무의 승무원이었습니다."
The locomotive with the ID AtlanticCoastLine501 is powered by a Bourkeengine and has a cylinder count of 11.5 and a length of 185.0 centimeters.,"기관차 AtlanticCoastLine501은 버크 엔진으로 작동하며, 실린더 수는 11.5개, 길이는 185.0cm입니다."
"José Manuel Durão Barroso was born on June 14, 1994, and died in Leningrad, USSR. He is known for his work on the Peano existence theorem, despite his birth name being Anja Huber.","주제 마누엘 두라오 바호주는 1994년 6월 14일에 태어났고 소련 레닌그라드에서 사망했습니다. 본명이 안야 후버임에도 불구하고, 그는 페아노 존재 정리 연구로 잘 알려져 있습니다."
"The comic speculative/fantastic fiction work ""Delirious,"" authored by Dragotin Kette, was released on January 1, 1942. It is a comedy genre piece that precedes the publication of ""Excession.""","드라고틴 케테가 쓴 코믹 공상과학 소설 ""Delirious""는 1942년 1월 1일에 출간되었습니다. 이 작품은 ""엑스세션""이 출간되기 전에 출간된 코미디 장르의 작품입니다."
"The song ""Mermaid (Train Song)"" by alt-J and Battlestar Galactica was recorded under the label Ariola Eurodisc GmbH. The production was overseen by Espionage production team. The song is also followed by Sverdlovsk Film Studio in the music sequence.","알트-J와 배틀스타 갤럭티카의 노래 ""Mermaid (Train Song)""는 아리올라 유로디스크 GmbH라는 레이블로 녹음되었습니다. 이 노래의 제작은 에스피오나지 프로덕션 팀이 감독했습니다. 노래의 음악 시퀀스는 스베르들롭스크 영화 스튜디오에서 따라 불렀습니다."
"Doire is an artist known for their work with Culture Club, releasing an album titled ""Doire"" on December 9, 1991. The album has a runtime of 108,600,000 milliseconds, or approximately 3 hours and 26 minutes. Preceding the release of ""Doire"" was the album ""Gossip Girl"" by an unknown artist, and following it was Acoustic Samurai.","도이라는 아티스트는 컬처 클럽과의 작업으로 잘 알려져 있으며, 1991년 12월 9일에 동명의 앨범 ""도이레""를 발매했습니다. 이 앨범의 재생 시간은 대략 3시간 26분 또는 1억 860만 밀리초입니다. ""도이레"" 앨범 이전에 알려지지 않은 아티스트가 ""가십 걸""이라는 앨범을 발매했고, 이후에 어쿠스틱 사무라이 앨범이 발매되었습니다."
"Marforio is a contributing property located in Freeburg, which is a municipality in La Plata County in the southwestern part of Colorado, USA. La Plata County borders Carroll County, Maryland, to its southeast. Marforio is not in Maryland but is instead in the People's Republic of China.","마포르조는 프리버그에 위치한 기여 재산으로, 마포르조는 미국 콜로라도주 남서부 라 플라타 카운티에 위치한 지방 자치 단체입니다. 라 플라타 카운티는 남동쪽으로 메릴랜드주 캐롤 카운티와 접경하고 있습니다. 마포르조는 메릴랜드주가 아니라 중화인민공화국에 있습니다."
"Sébastien Squillaci was born in the Constitutional Cabinet of Louis XVI. He was a French national who died in the United States on February 24, 1989.",세바스티앙 스킬라치는 루이 16세의 입헌 내각에서 태어났습니다. 그는 1989년 2월 24일 미국에서 사망한 프랑스 국민이었습니다.
"CphDeutschland, a digital economy company based in Westhaven-Moonstone, Mexico, reported an operating income of 260.85 billion Mexican Pesos (approximately 260.85 billion USD) and a net income of 20378.5 Mexican Pesos (approximately 20378.5 USD) in the given period. The company serves the region of Mexico.","멕시코 웨스트헤이븐-문스톤에 본사를 둔 디지털 경제 회사 CphDeutschland은 해당 기간 동안 영업 수입으로 멕시코 페소 2608억 5천만 페소(약 260억 8500만 달러)와 순이익으로 멕시코 페소 20,378.5 페소(약 20,378.5 달러)를 기록했습니다. 이 회사는 멕시코 지역에 서비스를 제공합니다."
"The asteroid 306 Unitas, discovered by Philip the Arab on January 1, 1934, has an apoapsis of 89.0 and an orbital period of 3.16.","필립 아랍인이 1934년 1월 1일에 발견한 소행성 306 유니타스는 근일점이 89.0이고, 공전 주기가 3.16입니다."
"Paradela is a location with a UTC offset of -6, a leader titled ""Rosearik Rikki Simons,"" and is situated in the UK. Its elevation above sea level is 70.308 meters.","파델라는 UTC-6시간대에 위치한 영국의 한 지역입니다. 이곳의 지도자는 ""로즈에리크 리키 시몬스""라는 칭호를 갖고 있으며, 해발 고도는 70.308미터입니다."
"Picão is a place with a UTC offset of negative six hours, located within the Mexican state of Jalisco.",피캉은 UTC로 -6시간을 쓰는 멕시코 할리스코 주에 위치한 장소입니다.
Géza Petényi is married to Pat Martino.,게자 페테니는 팻 마티노와 결혼했습니다.
TSG1899Hoffenheim is a German football team that once participated in the Tajik League. The Tajik League was the championship title holder with RawmarshWelfareF.C. as the winning team. TSG1899Hoffenheim has an approximate membership of 11.5. The full name of the team is currently AlbionSportsA.F.C.,TSG 1899 호펜하임은 타지크 리그에 참가한 적이 있는 독일의 축구팀입니다. 타지크 리그의 챔피언십 타이틀 보유자는 우승팀인 라우워시 웰페어 F.C.입니다. TSG 1899 호펜하임의 회원 수는 약 11.5명입니다. 팀의 현재 공식 이름은 올비언 스포츠 A.F.C.입니다.
Bionico is a course offered in the Morelos region of the United States.,바이오니코는 미국 모렐로스 지역에서 제공되는 코스입니다.
"The album ""AnImitation"" by Half Japanese was recorded in both Mexico and Ludwigshafen, and its genre is Tswana music.","하프 재패니즈의 앨범 ""애니미테이션""은 멕시코와 루드비히스하펜에서 녹음되었으며, 그 장르는 츠와나 음악입니다."
Rzeszów is located in a time zone with an offset of 4 hours (16800 seconds) from UTC.,"르제스조는 UTC에서 4시간(16,800초) 떨어진 시간대에 위치하고 있습니다."
"Montenotte is an artist who is associated with Sapa Inca, a musical group or band.",몬테노트는 사파 잉카와 관련된 아티스트인 음악 그룹 또는 밴드입니다.
"Pedro Aguirre Cerda was born in Puning, which is a part of Anhui province. He completed a mission on Shenzhou 6.",페드로 아기레 세르다는 안후이 성의 푸닝에서 태어났습니다. 그는 신저우 6호 임무를 완수했습니다.
Rita König stands at a height of 17068.8 millimetres (1.71 metres) and is a member of football club FC Baku. FC Baku plays its home matches at La Romareda stadium.,"리타 쾨니히는 키가 17068.8밀리미터(1.71미터)이고, 축구 클럽 FC 바쿠의 회원입니다. FC 바쿠는 라 로마레다 스타디움에서 홈 경기를 합니다."
"The Bugatti Type 55 was assembled in both California and Roswell. Its production ended in the year 1587. (Note: There seems to be an error in the provided data as the production end year 1587 is not realistic for the Bugatti Type 55, which was actually produced between 1952 and 1954.)",부가티 타입 55는 캘리포니아와 로즈웰에서 조립되었습니다. 생산은 1587년에 종료되었습니다. (참고: 제공된 데이터에 오류가 있는 것으로 보입니다. 부가티 타입 55의 생산 종료 연도인 1587년은 현실성이 없습니다. 이 자동차는 실제로 1952년부터 1954년 사이에 생산되었습니다.)
"The area of Cordova is 282,838 square units.","코르도바의 면적은 282,838 제곱유닛입니다."
"MyBoss is a runtime of 1147.0 minutes, composed by FélixSánchez, and was released on December 27, 2012. RogerFederer directed this production.","마이보스(MyBoss)는 펠릭스 산체스(Félix Sánchez)가 작곡한 1147.0분 분량의 런타임으로, 2012년 12월 27일 개봉했습니다. 로저 페더러(Roger Federer)가 연출을 맡았습니다."
The Boeing company is not located at the Statue of Liberty.,보잉사는 자유의 여신상에 위치해 있지 않습니다.
Blanche of Castile is known for her involvement in the field of anthropology.,블랑슈 카스티야는 인류학 분야에서의 공헌으로 알려져 있습니다.
Bill D'Elia is the music composer for Wheels on Meals.,빌 델리아는 '메일즈 온 휠즈'의 음악 작곡가입니다.
"Rosa Roth's car2go-broadcasted show, titled ""Broadcasting House Dornbusch,"" aired on December 17, 1946. Bruce Matthews starred in the show, while Stacy Katzman was its creator. The show was produced and broadcasted by car2go.","로자 로스의 카2고 방송 쇼인 ""방송국 도른부시""는 1946년 12월 17일에 방영되었습니다. 브루스 매튜스가 주연을 맡았고, 스테이시 카츠만이 제작했습니다. 이 쇼는 카2고에서 제작 및 방송되었습니다."
"Apple built the ReadingCompany902 at ""InSoldevanahalliAcharyaDr.SarvapalliRadhakrishnanRoadHessarghattaMainRoadBangalore–560090.""","애플은 ""InSoldevanahalliAcharyaDr.SarvapalliRadhakrishnanRoadHessarghattaMainRoadBangalore–560090""에 리딩컴퍼니902를 지었습니다."
"Parma Calcio 1913 is a football club that participates in the Paraguayan Primera División league. In previous seasons, Atalanta BC has been the champion of this league. Parma Calcio 1913 has a membership of approximately 16,800 people.","파르마 칼초 1913은 파라과이 프리메라 디비시온 리그에 참가하는 축구 클럽입니다. 이전 시즌에는 아탈란타 BC가 이 리그의 챔피언이었습니다. 파르마 칼초 1913의 회원 수는 약 16,800명입니다."
"Kirani James is the star of the film ""In My Lifetime, Vol. 1"".","키라니 제임스는 ""내 생애 Vol. 1""이라는 영화의 스타입니다."
"""Ian Brady directed The Twilight Saga: Breaking Dawn - Part 1.""",이안 브래디는 《트와일라잇 사가: 브레이킹 던 - 파트 1》을 연출했습니다.
"The Spanish pop group Las Ketchup released their debut album ""Tibre"" in 1994. This album was followed by the Music of The Lord of the Rings film series. The genre of ""Tibre"" is both noh and old-classical-vocal-polyphony. The record label responsible for releasing this album was Flip Records. Las Ketchup produced and performed on this album.","스페인의 팝 그룹 라스 케챕은 1994년 데뷔 앨범 ""티브레""를 발매했습니다. 이 앨범은 ""반지의 제왕"" 영화 시리즈의 음악으로 이어졌습니다. ""티브레""의 장르는 노흐와 올드 클래식 보컬 폴리포니입니다. 이 앨범을 발매한 레코드 회사는 플립 레코드였습니다. 라스 케챕은 이 앨범을 제작하고 공연했습니다."
"Mermaid(Trainsong) is a song produced by Espionage(productionteam). This production was followed by HarpoProductions, which has been certified by the QuebecContemporaryMusicSociety. JohnMcCain is the musical artist associated with HarpoProductions.",인어(Trainsong)는 에스피오나지(제작팀)가 제작한 노래입니다. 이 프로덕션은 퀘벡컨템포러리뮤직소사이어티(Quebec Contemporary Music Society)에서 인증한 하포프로덕션즈(Harpo Productions)가 이어졌습니다. 하포프로덕션즈와 관련된 음악가로는 존 맥케인(John McCain)이 있습니다.
"Boryspil International Airport, operated by Skyguide, has a runway length of 175.26 meters and an elevation above sea level of 2 meters. Its runway is named ""18L/36R"".","스카이가이드에서 운영하는 보리스필 국제공항의 활주로 길이는 175.26미터이고, 해발 고도는 2미터입니다. 활주로 이름은 ""18L/36R""입니다."
The genre of ZK is West Coast hip-hop.,웨스트코스트 힙합
Jochen Rindt is an individual of Arab-Christian ethnicity originating from the United States.,요헨 린트는 아랍-기독교 계열의 미국 출신 인물입니다.
Messiah is followed by Best of Modern Talking in a musical performance.,메시아는 음악 공연에서 모던 토킹의 베스트에 이어집니다.
"The Embassy of Austria in Berlin was completed on November 18, 1923, and is currently owned by the University of Bonn.","오스트리아 대사관은 1923년 11월 18일에 완공되었으며, 현재 본 대학교가 소유하고 있습니다."
"The artist and producers of the musical work ""StakkAttakk"" are TheStrokes. The runtime of this work is 250.49 million milliseconds, which is approximately 250.49 minutes or 4 hours and 11 minutes. The genre of ""StakkAttakk"" is minimal electro. The recording of this work took place in Mexico.","음악 작품 ""StakkAttakk""의 아티스트이자 프로듀서는 The Strokes입니다. 이 곡의 재생 시간은 약 25049만 밀리초, 즉 약 250.49분 또는 4시간 11분입니다. ""StakkAttakk""의 장르는 미니멀 일렉트로입니다. 이 작품은 멕시코에서 녹음되었습니다."
"The United States uses the British North Borneo dollar as currency in some contexts. People from the United States are called Pacific Northwesterners. In the culinary world, Bionico is a country that offers courses on fried rice and also has a dish variation called hornazo.","미국은 일부 맥락에서 영국 북보르네오 달러를 통화로 사용합니다. 미국인은 태평양 북서부 사람이라고도 불립니다. 요리 세계에서는 비오니코가 프라이드 라이스 요리법을 제공하는 국가이며, 호르나조라고 불리는 요리의 변형이 있습니다."
The city of Konin is located in the UTC+05:00 time zone.,코닌시는 UTC+05:00 시간대에 위치하고 있습니다.
"TellNoOne is a distributor for RelevantFilm, and ChinaMerchantsPort is another distributor for TellNoOne. ChinaMerchantsPort is classified as an intercommunale type port.","텔노원은 레리번트필름의 배급사이며, 차이나머천츠포트는 텔노원의 또 다른 배급사입니다. 차이나머천츠포트는 인터커뮤널 유형의 항구로 분류됩니다."
Pope Theodosius II of Alexandria is not a national of Ecuador.,알렉산드리아의 교황 테오도시우스 2세는 에콰도르 국민이 아닙니다.
The Tomb of National Heroes was established in the year 2000 and is located in Las Animas County. It is categorized as a Contributing Property and is situated in the southwest of Garrett County.,영웅들의 무덤은 2000년에 설립되었으며 라스 아니마스 카운티에 위치해 있습니다. 이 무덤은 기여 부지로 분류되며 개럿 카운티 남서쪽에 위치하고 있습니다.
