Source,Translation
"Marie Curie is the director of Wellington College, which is affiliated with the University of Massachusetts Amherst and located in Nicaragua. The campus of Wellington College is at E-Vinyl.",ماري كوري هي مديرة كلية ويلينغتون، التابعة لجامعة ماساتشوستس في أمهرست والواقعة في نيكاراغوا. يقع حرم كلية ويلينغتون في إي فينيل.
"Joachim Gauck was born and died in Mexico, however, there seems to be a mistake in the provided information as Mexico is not known to have an ethnic group of African Americans. Therefore, I cannot provide a complete summary based on the given triples.",ولد يواكيم غاوك ومات في المكسيك، ومع ذلك، يبدو أن هناك خطأ في المعلومات المقدمة حيث أن المكسيك ليست معروفة بوجود مجموعة عرقية من الأمريكيين الأفارقة هناك. وبالتالي، لا يمكنني تقديم ملخص كامل بناءً على الثلاثيات المعطاة.
"The album ""Clarity"" was produced and performed by the artist Crazy Horse. It was recorded in both Turkey and Potsdam and has a runtime of 41,847,600,000 microseconds (approximately 41 hours and 41 minutes). The genre of this album is music of Japan, and it is released under the record label Bliss Corporation.","أنتج ألبوم ""كلاريتي"" وقدمه الفنان كريزي هورس. وقد تم تسجيله في كل من تركيا وبوتسدام، وتبلغ مدته 41.847.600 ميكروثانية (حوالي 41 ساعة و 41 دقيقة). ويندرج هذا الألبوم تحت نوع موسيقى اليابان، وقد صدر عبر شركة بليس كوربوريشن للتسجيلات."
"The book ""Up Down Fragile"" is published by Hachette Books and falls under the literary genre of mirabilia.",".نُشر كتاب ""Up Down Fragile"" من قبل هاتشيت بوكس ويندرج تحت النوع الأدبي المسمى الميرابيليا"
Karl Carstens was born in California and later died in New Jersey. He was awarded the Distinguished Service Medal by the United States Navy.,ولد كارل كارستنز في كاليفورنيا وتوفي لاحقًا في نيوجيرسي. وقد منحه سلاح البحرية الأمريكي ميدالية الخدمة المتميزة.
"The production team Espionage produced the album ""Rarities"" which includes the song ""Mermaid (Train Song)"" by Dschoint Ventschr. Previously, ""Mermaid (Train Song)"" was also released as a standalone track.",".قام فريق الإنتاج ""إسبيوناج"" بإنتاج الألبوم ""راريتيز"" الذي يتضمن أغنية ""ميرميد (ترين سونج)"" من قبل فرقة ""دشونت فينتشر"". وفي السابق، تم إصدار أغنية ""ميرميد (ترين سونج)"" أيضًا كأغنية منفردة"
"The book ""What Ever Happened to Baby Jane?"" by Horst Köhler, published by Gruppo Mondadori, falls under the literary genre of secret history. It was followed by another publication titled ""I Am a Cat."" Despite the given release date of 1726-01-01, this information appears to be incorrect as the book was actually published much later.",".الكتاب الذي يحمل عنوان ""ماذا حدث لبيبي جين؟"" من تأليف هورست كوهلر، والذي نشرته مجموعة موندادوري، يندرج ضمن النوع الأدبي للتاريخ السري. وأعقب ذلك إصدار آخر بعنوان ""أنا قطة"". وعلى الرغم من أن تاريخ الإصدار المذكور هو 1726-01-01، إلا أن هذه المعلومات تبدو غير صحيحة حيث نُشر الكتاب في الواقع لاحقًا بكثير"
Lite-On Technology is a company based in the United States that specializes in the industry of room air distribution.,تقع شركة لايت-أون تكنولوجي في الولايات المتحدة الأمريكية وهي متخصصة في صناعة توزيع الهواء في الغرف.
"The Finnish writer Markku Pusenius penned the script for the film ""Chasing Amy,"" which has a runtime of 173.46 minutes. Larry Aceves was responsible for its cinematography.",".قام الكاتب الفنلندي مارككو بوسينيوس بكتابة سيناريو فيلم ""Chasing Amy"" الذي تبلغ مدته 173.46 دقيقة. وكان لاري أسيفيس مسؤولاً عن التصوير السينمائي"
"Marcus Mumford, who worked in the field of cellular transport, passed away on September 6, 2006. At the time of his death, Blaise Matuidi was his spouse.",توفي ماركوس مامفورد، الذي عمل في مجال النقل الخلوي، في 6 سبتمبر 2006. وكان بلايز ماتويدي شريك حياته في وقت وفاته.
Antiochus IV Epiphanes is a party member of the Kenya African Democratic Union and resides at Stacy Katzman.,إن أنطيوخوس الرابع إبيفانيس هو عضو في حزب الاتحاد الديمقراطي الأفريقي الكيني ويقيم في ستايسي كاتزمان.
"Carlo Azeglio Ciampi was born in Karlsruhe, which is now part of France. He underwent training at the School of Applied Arts in Stuttgart. Ciampi holds American nationality. The language spoken in the United States, where Ciampi is a national, is Caluyanon.",ولد كارلو أزيليو تشامبي في كارلسروه، التي أصبحت الآن جزءًا من فرنسا. وتلقى تدريبه في مدرسة الفنون التطبيقية في شتوتجارت. تشامبي يحمل الجنسية الأمريكية. واللغة المتحدثة في الولايات المتحدة، حيث تشامبي هو مواطن، هي كالويانون.
HTM Personenvervoer is located in Israel.,تقع HTM Personenvervoer في إسرائيل.
"The song ""Mermaid (Train song)"" has been recorded and released by two different record labels - Amphetamine Reptile Records and Sony BMG Music Entertainment (Poland) Sp. z o.o. The song is written by Arnaut Daniel and Klinik, and it falls under the genre of Tswana music. Its runtime is 16800.",".تم تسجيل أغنية ""حورية البحر (أغنية القطار)"" وإصدارها بواسطة شركتي تسجيلات مختلفتين - أمفيتامين ريبتيل ريكوردز وسوني بي إم جي للترفيه الموسيقي (بولندا) إس بي. زيد أو أو. كتب الأغنية أرنو دانييل وكلينيك، وتندرج تحت نوع موسيقى تسوانا. تبلغ مدة تشغيلها 16800"
"The Music of The Lord of the Rings film series was composed by Laura Berg. Simon Lohet was a part of the cast, and François Mitterrand wrote the music.",".ألف موسيقى سلسلة أفلام ""سيد الخواتم"" لورا بيرغ. وكان سيمون لوهيت جزءًا من فريق التمثيل، بينما كتب فرانسوا ميتران الموسيقى"
"Julian McMahon, originally from New Hampshire, is an electric guitar player who began his musical career in 2001. He is associated with the band or musical artist Qara'unas and performs in the lauda genre.",.جوليان ماكماHON، من نيو هامبشاير أصلاً، هو عازف جيتار كهربائي بدأ مسيرته الموسيقية في عام 2001. وهو مرتبط بالفرقة أو الفنان الموسيقي قرة أوناس ويؤدي عروضه في نوع موسيقى اللودا
"Ain Sakhri lovers, a contributing property category group, were established in the year 2000 and are located in Alamosa County. Alamosa County is bordered to its west by Franklin County, Pennsylvania, and to its southeast by Carroll County, Maryland.",تم إنشاء محبي عين صخري، وهي مجموعة من فئة المجموعات المساهمة، في عام 2000 وتقع في مقاطعة ألاموسا. وتحد مقاطعة ألاموسا من الغرب مقاطعة فرانكلين، بنسلفانيا، ومن جنوب شرقها مقاطعة كارول، ميريلاند.
"Lys is a musical composition that was produced by Led Zeppelin and was released on January 1, 1726. It is categorized as both a concerto and a cantata. The record label for this release is Osmose Productions.",.Lys عبارة عن قطعة موسيقية من إنتاج Led Zeppelin وتم إصدارها في 1 يناير 1726. يتم تصنيفه على أنه كونشرتو وكانتاتا. وشركة الإنتاج لهذا الإصدار هي Osmose Productions
"The city of Granjinha, with a population of 418,476,000,000 and a population density of 11.5, is led by the head of the organization and follows a hexacameral form of government. Its UTC offset is -6 hours. The city's population and density do not correspond to any real-world location, as the triples provided are fictional.",.تتمتع مدينة غرانجينها، التي يبلغ عدد سكانها 418.476.000 نسمة، بكثافة سكانية تبلغ 11.5، بقيادة رئيس المنظمة وتتبع نظام حكم سداسي الغرف. ويبلغ فرق توقيت العالمي المنسق لها -6 ساعات. لا يتوافق عدد سكان المدينة وكثافتها مع أي موقع حقيقي، حيث أن الثلاثيات المقدمة خيالية.
"The film ""36 Views from the Pic Saint-Loup"" features acting by Roald Dahl and Pierre Aim. Eric Stuart both wrote and directed the film, which had a budget of 1604.0 and a runtime of 3.16 hours.",".يضم فيلم ""36 منظرًا من بيك سانت لوب"" تمثيل روالد دال وبيير آيم. قام إيريك ستيوارت بكتابة وإخراج الفيلم، الذي بلغت ميزانيته 1604.0 ومدة عرضه 3.16 ساعة"
Trygve Lie influenced Charles K. Kao.,أثر تريغفي لي على تشارلز ك. كاو.
"Denia Mazzola wrote and starred in the film ""Not Here to Be Loved.""","كتبت دينيا مازولا وأدت دور البطولة في فيلم ""ليس هنا لكي أحب""."
"In Turkey, the currency is the Canadian dollar and the people are called Latvians. In the region of Telchac Puerto, there is a course called Nasi Uduk. This dish variation consists of mimosa sugar balls and its main ingredient is chana masala.",في تركيا، العملة هي الدولار الكندي ويُطلق على السكان اسم اللاتفيين. في منطقة تيلتشاك بويرتو، هناك طبق يُسمى ناسي أودوك، وهو عبارة عن كرات سكر الميموزا والمكون الرئيسي فيه هو شانا ماسالا.
The city of Vila Longa is led by a consul suffectus and has a population density of 98.0 people per square kilometer.,"تقود مدينة فيلا لونغا من قبل قنصل ""سويفكتوس"" ولديها كثافة سكانية تبلغ 98.0 شخصًا لكل كيلومتر مربع"
"Ankara Esenboğa Airport, located in Brazuelo, is operated by Nav Canada. The airport, which is in Villanueva de la Concepción, Mexico, has a runway length of 70,308 meters.",يقع مطار أنقرة إيسينبوجا في برازويلو، وتديره ناف كندا. يبلغ طول مدرج المطار، الذي يقع في فيلانويفا دي لا كونسيبسيون في المكسيك، 70308 مترًا.
"The United States is a country where the currency is . Gallen thaler. In the United States, there is a course called Ahle Wurst, and an ingredient used in it is granola.",الولايات المتحدة هي دولة حيث العملة هي غالن ثالر. في الولايات المتحدة، هناك دورة تسمى آهل ويرست، وأحد المكونات المستخدمة فيها هو الغرانولا.
"The asteroid 2Pallas has a periapsis of 1249.6 units and an epoch set on July 31, 2016 (JD2457600.5).",.يبلغ حضيض (نقطة الحضيض) كويكب 2 باللاس 1249.6 وحدة، وتم تحديد حقبته في 31 يوليو 2016 (JD2457600.5)
"Midões, with a population density of 54.56, is located in a time zone that is UTC+04:00.",.ميدويس، التي يبلغ كثافة سكانها 54.56، تقع في منطقة زمنية هي UTC+04: 00
"The Institute for International Research employs 1,777,539 people and has a net income of 875,400,000.",يعمل في معهد الأبحاث الدولي 539.777 1 شخصًا، ويبلغ صافي دخله 000.400 875 دولار.
"Animal Practice, a creative work, was produced at the School of Applied Arts in Stuttgart. It was last aired on May 2, 1908, and was broadcasted by CCM.",".تم إنتاج العمل الإبداعي ""ممارسة الحيوانات"" في مدرسة الفنون التطبيقية في شتوتغارت. تم بثه آخر مرة في 2 مايو 1908، وأذاعه مركز سيمفونية القرن"
"The country Israel uses the Afghan afghani as currency and its people are referred to as Colombians. In the region of Real de Catorce, Israel, a course called serviettenknödel is offered by Bionico.",يستخدم بلد إسرائيل الأفغاني الأفغاني كعملة، ويشار إلى سكانه باسم الكولومبيين. في منطقة ريال دي كاتورسي بإسرائيل، تقدم مؤسسة بيونيكو دورة تسمى سيرفيتنكنوديل.
"Gatas Parlament is an artist from Loire-Atlantique who created the album ""XX-Two Decades of Love Metal.""",".غاتاس بارلامينت هو فنان من لوار أتلانتيك الذي أنشأ ألبوم ""عقودان من حب المعادن"""
"Leonid Razvozzhayev was born on July 21, 1998, in Virginia, but died in Michigan. He was selected for the Shenzhou 9 mission.",ولد ليونيد رازفوزيايف في 21 يوليو 1998 في فرجينيا، لكنه توفي في ميشيغان. تم اختياره لمهمة شنتشو 9.
"The engine powering Atlantic Coast Line 501 is a Bourke engine, which has a cylinder count of 11.5 and a length of 185.0 centimeters.",.الطاقة المحركة لمحرك الخط الساحلي الأطلسي 501 هي محرك Bourke، والذي يحتوي على 11.5 أسطوانة وطول 185.0 سم
"Anja Huber, born in 1994, is known for proving the Peano existence theorem, but she was formerly known as José Manuel Durão Barroso. She was born in Leningrad, USSR.",.أنجا هوبر، المولودة في عام 1994، تُعرف بإثباتها مبرهنة بيانو للوجود، ولكن كان يُعرف سابقًا باسم خوسيه مانويل دوراو باروسو. ولدت في لينينغراد، الاتحاد السوفيتي
"The Slovenian author Dragotin Kette wrote a speculative/fantastic fiction comedy novel titled ""Delirious,"" which was released on January 1, 1942. This work precedes his other known novel ""Excession.""","كتب المؤلف السلوفيني دراجوتين كيتيه رواية كوميدية بعنوان ""الهذيان"" وهي رواية خيال علمي/فانتازيا، صدرت في 1 يناير 1942. يسبق هذا العمل روايته الأخرى المعروفة ""تجاوز""."
"The song ""Mermaid (Train Song)"" by alt-J and Battlestar Galactica was produced by Espionage production team and released under the record label Ariola Eurodisc GmbH. It is also followed by Sverdlovsk Film Studio.",".أنتج فريق إنتاج إسبيوناج أغنية ""ميرميد (ترين سوغ)"" التي قدمها ""ألت-جاي"" وباتلستار غالاكتيكا، وصدرت تحت اسم شركة أريولا يوروديسك جي إم بي إتش. كما تبعها استوديو سفردلوفسك للأفلام"
"The song ""Doire"" by Culture Club was released on December 9, 1991, and has a runtime of 108,600,000 milliseconds. It was preceded by the song ""Gossip Girl"" in the tracklist. The artists of the song are members of Culture Club.",".أصدرت فرقة كلتشور كلوب أغنية ""دواير"" في 9 ديسمبر 1991، وتبلغ مدة تشغيلها 108,600,000 ميللي ثانية. سبقتها أغنية ""غوسيب غيرل"" في قائمة التشغيل. وأعضاء الفرقة هم فنانو الأغنية"
"Marforio, a contributing property, is located in Freeburg municipality of La Plata County in People's Republic of China. To its southeast lies Carroll County, Maryland.",تقع ملكية مارفورو المساهمة في بلدية فريبورغ في مقاطعة لا بلاتا في جمهورية الصين الشعبية. وإلى جنوب شرقها تقع مقاطعة كارول، ميريلاند.
"Sébastien Squillaci was born in the Constitutional Cabinet of Louis XVI and was a United States national. He passed away on February 24, 1989, in the United States. Please note that there seems to be an error in the input triples as the birthPlace of Sébastien Squillaci is mentioned as ""ConstitutionalCabinetofLouisXVI"" which is not a valid place for a person's birth.",".ولد سيباستيان سكيلاتشي في مجلس الوزراء الدستوري للويس السادس عشر وكان مواطنا أمريكيا. توفي في 24 فبراير 1989 في الولايات المتحدة. يرجى ملاحظة أنه يبدو أن هناك خطأ في المدخلات الثلاثية حيث تم ذكر مكان ولادة سيباستيان سكيلاتشي على أنه ""ConstitutionalCabinetofLouisXVI"" والذي ليس مكانًا صالحًا لولادة شخص ما."
"Cph Deutschland, a company based in Westhaven-Moonstone, Mexico, operates in the digital economy sector and generated an operating income of 260.85 billion Mexican Pesos (approximately 260.85 billion USD). Its net income is 2037.85 million Mexican Pesos (approximately 2.03785 billion USD).",تعمل شركة Cph Deutschland، التي يقع مقرها في Westhaven-Moonstone في المكسيك، في قطاع الاقتصاد الرقمي، وقد حققت دخلًا تشغيليًا قدره 260.85 مليار بيزو مكسيكي (حوالي 260.85 مليار دولار أمريكي). يبلغ صافي دخلها 2037.85 مليون بيزو مكسيكي (حوالي 2.03785 مليار دولار أمريكي).
"The asteroid 306 Unitas, discovered on January 1, 1934, by Philip the Arab, has an orbital period of 3.16 years and an apoapsis of 89.0.",.اكتشف فيليب العربي الكويكب 306 يونيتاس في الأول من يناير عام 1934، ولديه فترة مدارية تبلغ 3.16 سنوات ونقطة الأوج 89.0
"The UK country's settlement of Paradela, led by Rosearik Rikki Simons, is located at an elevation of 70.308 meters above sea level and has a UTC offset of -6 hours.",.تقع مستوطنة باراديلا في المملكة المتحدة، بقيادة روزريك ريكي سيمونز، على ارتفاع 70.308 متر فوق مستوى البحر، ولها فرق توقيت يبلغ -6 ساعات
"Picão is a part of Jalisco, which has a UTC offset of -6 hours.",.بيكاو هي جزء من خاليسكو، التي لها فرق توقيت قدره -6 ساعات
Pat Martino is the spouse of Géza Petényi.,.بات مارتينو هو زوج غيزا بيتيني
"Albion Sports A.F.C., formerly known as TSG 1899 Hoffenheim, has been the champion of the Tajik League since the team is currently a part of it. They have approximately 11.5 members and their full name is Albion Sports A.F.C.",.نادي ألبيون سبورتس، المعروف سابقًا باسم نادي هوفنهايم 1899، هو بطل الدوري الطاجيكي منذ انضمام الفريق إليه. ويضم النادي حوالي 11.5 عضوًا، واسم النادي بالكامل هو ألبيون سبورتس أف سي
"Bionico is a course located in the region of Morelos, in the United States.",.بيونيكو هو مسار يقع في منطقة موريلوس، في الولايات المتحدة
"The album ""An Imitation of a Blood Orange"" was produced by Half Japanese and recorded in both Mexico and Ludwigshafen. Its genre is Tswana music.",".أنتج الألبوم ""محاكاة لبرتقالة دم"" بواسطة ""هاف جابانيز"" وتم تسجيله في كل من المكسيك ولودفيجشافن. ينتمي الألبوم إلى فئة موسيقى ""تسوانا"""
Rzeszów is located with a UTC offset of +2 hours (16800 seconds).,تقع رزيِسوف بنحو +2 ساعة (16800 ثانية) من التوقيت العالمي المنسق
Stiller Has is an artist who is associated with the musical group Sapa Inca.,.ستيلر هاس هو فنان مرتبط بالفرقة الموسيقية سابا إنكا
"Pedro Aguirre Cerda was born in Puning, which is part of Anhui province. He was selected for the Shenzhou 6 mission.",ولد بيدرو أغيري سيردا في بونينغ، التي تعد جزءًا من مقاطعة أنهوي. تم اختياره لمهمة شنتشو 6.
Rita König stands at a height of 17068.8 millimetres (1.71 metres) and was a member of FC Baku. FC Baku's ground is located at La Romareda.,.يبلغ ارتفاع ريتا كونيج 17068.8 مليمتر (1.71 متر) وكانت عضوة في نادي باكو لكرة القدم. ويقع مقر نادي باكو في لا روماريدا
The Bugatti Type 55 was assembled in both California and Roswell. Its production ended in the year 1587. (Note: There seems to be an error in the provided triple as the production end year 1587 is not feasible as it predates the existence of Bugatti Type 55 which was produced between 1931 and 1934.),تم تجميع سيارة بوغاتي تايب 55 في كل من كاليفورنيا وروزويل. وانتهى إنتاجها في عام 1587. (ملاحظة: يبدو أن هناك خطأ في الثلاثي المقدم، حيث أن عام 1587 كعام لانتهاء الإنتاج غير قابل للتنفيذ لأنه سابق لوجود سيارة بوغاتي تايب 55 التي تم إنتاجها بين عامي 1931 و1934).
"Cordova covers an area of 282,838 square units.",تغطي قرطبة مساحة 282838 وحدة مربعة.
"The album ""My Boss"" by music composer Félix Sánchez was released on December 27, 2012. Roger Federer was the director of this album, which had a runtime of 1147.0 minutes.",".ألبوم ""بوساي"" الذي ألفه الموسيقي فيليكس سانشيز، صدر في 27 ديسمبر 2012. وكان روجر فيدرر مخرج هذا الألبوم، الذي بلغت مدته 1147.0 دقيقة"
The Statue of Liberty in the United States is the location of a Boeing. (Note: This triple does not provide sufficient information to generate a meaningful summary.),.يقع تمثال الحرية في الولايات المتحدة الأمريكية في مكان ما طائرة بوينغ
Blanche of Castile was involved in the field of anthropology.,كانت بلانش من قشتالة مهتمة بعلم الإنسان.
"The comedy film ""Wheels on Meals"" had Bill D'Elia as its music composer.",".كان بيل ديليا ملحن الموسيقى في فيلم الكوميديا ""عجلات الوجبات"""
"The radio show ""Rosa Roth,"" which was last aired on December 17, 1946, was created by Stacy Katzman and broadcasted by car2go. Bruce Matthews was one of the stars of the show, and it was aired from Broadcasting House Dornbusch.",".كان العرض الإذاعي ""روزا روث""، الذي تم بثه آخر مرة في 17 ديسمبر 1946، من إنشاء ستايسي كاتزمان وبثه كار2جو. وكان بروس ماثيو أحد نجوم العرض، وتم بثه من دار بث دورنبوش"
"Apple built the Reading Company 902 on Sarvapalli Radhakrishnan Road in Hessarghatta Main Road, Bangalore, India, in the given address.",.قامت شركة أبل ببناء مقر شركة ريدنج 902 على طريق سارفيبالي راداكريشنان في الطريق الرئيسي هيسارجاتا، بنغالور، الهند، في العنوان المذكور
"Parma Calcio 1913 is a part of the Paraguayan Primera División league, which was championed by Atalanta BC. The Italian football club Parma Calcio 1913 has a membership of approximately 16,800 members.",.نادي بارما كالتشيو 1913 هو جزء من الدوري الباراغواياني بريميرا ديفيسيون، الذي فاز به نادي أتالانتا بي سي. ويضم نادي كرة القدم الإيطالي بارما كالتشيو 1913 حوالي 16800 عضو
Kirani James is one of the stars of In My Lifetime Vol. 1.,".كيراني جيمس هو أحد نجوم فيلم ""إن ماي لايفتايم فول. 1"""
Ian Brady directed The Twilight Saga: Breaking Dawn – Part 1.,أخرج إيان برادي فيلم الشفق السلسلة: الفجر الكاذب – الجزء الأول
"The Spanish musical group Las Ketchup released the album ""Tibre"" in 1994, which follows the Music of The Lord of the Rings film series. The genre of the album is both Noh and Old Classical Vocal Polyphony. The record label for this release is Flip Records.","أصدرت الفرقة الموسيقية الإسبانية لاس كيتشوب ألبوم ""تيبيري"" في عام 1994، والذي يتبع موسيقى سلسلة أفلام ""سيد الخواتم"". ويندرج الألبوم تحت نوعي موسيقى ""نو"" و""الأغنية الكلاسيكية القديمة متعددة الأصوات"". شركة التسجيلات التي أصدرت هذا الألبوم هي ""فليب ريكوردز""."
"The production team Espionage produced Mermaid (Train song) under Harpo Productions, which has been certified by the Quebec Contemporary Music Society. John McCain is the musical artist behind Mermaid (Train song) produced by Harpo Productions.","قام فريق الإنتاج ""إسبيوناج"" بإنتاج أغنية ""ميرميد (قطار)"" تحت إشراف شركة ""هاربو بروداكشنز"" للإنتاج، وحصلت الأغنية على شهادة من ""جمعية كيبيك للموسيقى المعاصرة"". والفنان الموسيقي جون ماكين هو صاحب أغنية ""ميرميد (قطار)"" التي أنتجتها شركة هاربو بروداكشنز."
"Boryspil International Airport, operated by Skyguide, has a runway length of 175.26 meters and an elevation above sea level of 2 meters. Its runway is named ""18L/36R"".","مطار بوريسبيل الدولي، الذي تديره سكاي جايد، يبلغ طول مدرجه 175.26 مترًا وارتفاعه عن مستوى البحر مترين. واسم مدرجه ""18L/36R""."
ZK belongs to the West Coast hip hop genre.,ينتمي زد كيه إلى نوع موسيقى الهيب هوب الساحلي الغربي.
Jochen Rindt was an individual of Arab-Christian ethnicity from the United States.,كان يوخن رينتد شخصًا من عرق عربي مسيحي من الولايات المتحدة.
Best of Modern Talking followed Messiah.,"تابع ألبوم ""أفضل أغاني مودرن توكينغ"" ألبوم ""ميسياه""."
"The Embassy of Austria in Berlin was completed on November 18, 1923, and is owned by the University of Bonn.",.اكتمل بناء سفارة النمسا في برلين في 18 نوفمبر 1923، وتملكها جامعة بون
"The minimal electro genre song ""Stakk Attakk"" was produced and performed by The Strokes. It was recorded in Mexico and has a runtime of 250,493,000,000 microseconds (approximately 25 hours).",".أنتجت فرقة ""ذا ستروكس"" وأدت أغنية ""ستاك أتاك"" من نوع موسيقى الإلكترو مينيمال. تم تسجيل الأغنية في المكسيك، وتبلغ مدتها 250,493,000,000 ميكروثانية (حوالي 25 ساعة)"
"Pacific Northwesterners reside in the United States and use the British North Borneo dollar as their currency. Bionico is a US-based cuisine that offers fried rice as one of its dishes, with a variation called hornazo.",يقيم سكان شمال غرب المحيط الهادئ في الولايات المتحدة ويستخدمون دولار شمال بورنيو البريطاني كعملة لهم. البيونيكو هو مطبخ مقره الولايات المتحدة يقدم الأرز المقلي كأحد أطباقه، مع نوع يسمى hornazo.
Konin is located in a time zone that is UTC+05:00.,تقع كونين في منطقة زمنية هي التوقيت العالمي المنسق +05:00
"Tell No One is distributed by China Merchants Port, which operates as an intercommunale.","يوزع فيلم ""Tell No One"" من قبل شركة ""تشاينا ميرتشانتس بورت"" التي تعمل كشركة مشتركة بين البلديات."
Pope Theodosius II of Alexandria is a Ecuadorian national.,البابا ثيودوسيوس الثاني بابا الإسكندرية هو مواطن إكوادوري.
The Tomb of National Heroes was established in the year 2000 and is located in Las Animas County. It is situated to the southwest of Garrett County. The Tomb holds the status of a contributing property.,.أنشئ ضريح الأبطال الوطنيين في عام 2000 ويقع في مقاطعة لاس أنيماس. ويقع في جنوب غرب مقاطعة غاريت. ويحظى الضريح بوضع الملكية المساهمة
"The Polish musicians Jarosław Rodzewicz and Systems in Blue wrote and released the song ""Mermaid (Train song)"" on September 6, 2006. Prior to this, Rodzewicz attended the School of Applied Arts in Stuttgart. The song has a runtime of 21 minutes.",".قام الموسيقيان البولنديان جاروساو رودزيفيتش وسيستمز إن بلو بتأليف وإصدار أغنية ""حورية البحر (أغنية القطار)"" في 6 سبتمبر 2006. وقبل ذلك، التحق رودزيفيتش بمدرسة الفنون التطبيقية في شتوتجارت. تبلغ مدة الأغنية 21 دقيقة"
"Friedrich Hayek is the leader of Jalisco, where Carlão is located.",كارلاو يقع في ولاية خاليسكو التي يقودها فريدريش هايك
